"scientificName","scientificNameAuthorship","subtaxonAuthorship","commonName","kingdom","phylum","subphylum","superclass","class","subclass","superorder","order","suborder","superfamily","family","subfamily","tribe","genus","specificEpithet","hybrid","subspecies","variety","establishmentMeans","provincialStatus","nationalStatus","firstReported","firstReportedBy","firstReportedSource","firstReportedCollectionNumber","firstReportedGBIF","lastReported","lastReportedBy","lastReportedSource","lastReportedCollectionNumber","lastReportedGBIF","recordCount","reportingStatus","iNatObservationStatus","notes","ID","statsCode"
Platanthera orbiculata,"(Pursh) Lindl.","",round-leaved bog orchid,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Orchidoideae,,Platanthera,Platanthera orbiculata,,,,native,S4 (2015),,2014-07-21,"hillanddale",iNaturalist,9514950,,2024-09-03,"judith holm",iNaturalist,239799043,,51,confirmed,observed,"",131218,VAS
Platanthera stricta,"Lindl.","",slender bog orchid,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Orchidoideae,,Platanthera,Platanthera stricta,,,,native,S5 (2015),,1951-09-08,"W. Cottle",UBC,V27329,,2024-09-11,"Eva van Emden",iNaturalist,241984282,,220,confirmed,observed,"",50739,VAS
Platanthera unalascensis,"(Spreng.) Kurtz","",Alaska piperia,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Orchidaceae,Orchidoideae,,Platanthera,Platanthera unalascensis,,,,native,S5 (2019),,2015-06-13,"Steve Ansell",iNaturalist,68140498,,2023-05-06,"arial",iNaturalist,160249803,,3,confirmed,observed,"",840638,VAS
Plectritis congesta ssp. brachystemon,"(Lindl.) DC.","(Fisch. & C.A. Mey.) ",shortspur seablush,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,Caprifoliaceae,Valerianoideae,,Plectritis,Plectritis congesta,,brachystemon,,native,S5 (2015),,2022-05-31,"Steve Ansell",iNaturalist,119693380,,2022-05-31,"Steve Ansell",iNaturalist,119693380,,1,new 2022,observed,"",57787,VAS
Plectritis congesta ssp. congesta,"(Lindl.) DC.","",seablush,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,Caprifoliaceae,Valerianoideae,,Plectritis,Plectritis congesta,,congesta,,native,S5 (2019),,2022-04-22,"Steve Ansell",iNaturalist,113302172,,2022-05-15,"Martine Lapointe",iNaturalist,118453534,,3,new 2022,observed,"",59253,VAS
Pleuropogon refractus,"(A. Gray) Benth. ex Vasey","",nodding semaphore grass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,,,Pleuropogon,Pleuropogon refractus,,,,native,S3S4 (2015),,1963-08-31,"Brink, V.C.",CMN,CAN 591739,,2020-07-01,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices,LGL2020:407,,3,reported,unobserved,"",78629,VAS
Poa abbreviata ssp. pattersonii,"http://R.Br.","(Vasey) Á.Löve, D.Löve & B.M.Kapoor",abbreviated bluegrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,,,Poa,Poa abbreviata,,pattersonii,,native,S3 (2019),,2020-07-01,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices,LGL2020:408,,2020-07-01,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices,LGL2020:408,,1,new 2020,unobserved,"",80136,VAS
Poa alpina,"L.","",alpine meadow-grass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,,,Poa,Poa alpina,,,,native,S5 (2015),,1912-08-11,"John Davidson",UBC,V20168,,2023-10-03,"judith holm",iNaturalist,186208118,,10,confirmed,observed,"RBCM:  Garibaldi PP",167076,VAS
Poa cusickii ssp. epilis,"Vasey","(Scribn.) W.A.Weber",skyline bluegrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,,Poa,Poa cusickii,,epilis,,native,S4 (2001),,1969-09-06,"T. Brayshaw",RBCM,V055010,,2020-07-01,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices,LGL2020:410,,2,reported,unobserved,"RBCM:  Garibaldi PP",80140,VAS
Poa glauca,"Vahl","",glaucous meadow-grass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,,Poa,Poa glauca,,,,native,S5 (2000),,1926-08-01,"George Hardy",RBCM,V008009,,2023-08-04,"chelsl",iNaturalist,232328825,,2,confirmed,observed,"RBCM:  Garibaldi PP Lake Garibaldi",78641,VAS
Poa interior,"Rydb.","",interior bluegrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,,Poa,Poa interior,,,,native,S5 (2019),,2020-07-01,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices,LGL2020:411,,2020-07-01,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices,LGL2020:411,,1,new 2020,unobserved,"",167090,VAS
Poa leptocoma,"Trin.","",bog bluegrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,,Poa,Poa leptocoma,,,,native,S5 (2019),,1980-07-16,"R. J. Soreng",US,,,1980-07-16,"R. J. Soreng",US,,,1,reported,unobserved,"",78645,VAS
