scientificName,scientificNameAuthorship,subtaxonAuthorship,commonName,kingdom,phylum,subphylum,superclass,class,subclass,superorder,order,suborder,superfamily,family,subfamily,tribe,genus,specificEpithet,hybrid,subspecies,variety,establishmentMeans,provincialStatus,nationalStatus,firstReported,firstReportedBy,firstReportedSource,firstReportedCollectionNumber,firstReportedGBIF,lastReported,lastReportedBy,lastReportedSource,lastReportedCollectionNumber,lastReportedGBIF,recordCount,reportingStatus,iNatObservationStatus,notes,ID,statsCode,iNaturalistTaxonId,iNaturalistTaxonName,nameStatus
Juncus covillei,Piper,,Coville's rush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,,Juncus,Juncus covillei,,,,native,S4 (2019),,1995-07-16,"Straley, Gerald B.",USCH,USCH0064034,,2020-07-01,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices,LGL2020:285,,3,confirmed,unobserved,,77561,VAS,77561,Juncus covillei,accepted
Juncus drummondii,E. Mey.,,Drummond's rush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,,Juncus,Juncus drummondii,,,,native,S5,,1912-08-15,John Davidson,UBC,V22127,,2024-08-02,Nina Hewitt,iNaturalist,234429419,,22,confirmed,observed,,77565,VAS,77565,Juncus drummondii,accepted
Juncus effusus,L.,,soft rush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,,Juncus,Juncus effusus,,,,,,,2004-08-12,Nick Page,Effects of Fish Habitat Restoration Activities on Plant Communities in the Squamish River Estuary: Summary Report,NPAGE2004:14,,2024-08-31,Geoff Hoese,iNaturalist,239739584,,89,confirmed,observed,Multiple infrataxa known for the region,56153,VAS,56153,Juncus effusus,accepted
Juncus ensifolius,Wikstr.,,dagger rush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,,Juncus,Juncus ensifolius,,,,native,S5 (2015),,2015-06-07,judith holm,iNaturalist,4390272,,2024-08-05,dhuggard,iNaturalist,234086277,,55,confirmed,observed,,77569,VAS,77569,Juncus ensifolius,accepted
Juncus filiformis,L.,,thread rush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,,Juncus,Juncus filiformis,,,,native,S5 (2019),,2024-09-19,Terry M,iNaturalist,242910574,,2024-09-19,Terry M,iNaturalist,242910574,,1,new 2024,observed,,164262,VAS,164262,Juncus filiformis,accepted
Juncus mertensianus,Bong.,,Mertens' rush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,,Juncus,Juncus mertensianus,,,,native,S5 (2015),,1912-08-07,John Davidson,UBC,V22404,,2024-09-28,Evan Hersh,iNaturalist,244570127,,26,confirmed,observed,,77584,VAS,77584,Juncus mertensianus,accepted
Juncus parryi,Engelm.,,parry's rush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,,Juncus,Juncus parryi,,,,native,S5 (2019),,2018-10-15,judith holm,iNaturalist,18025070,,2024-07-07,dhuggard,iNaturalist,228020764,,6,new 2018,observed,RBCM:  Hollyburn Peak,77589,VAS,77589,Juncus parryi,accepted
Juncus supiniformis,Engelm.,,spreading rush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,,Juncus,Juncus supiniformis,,,,native,S5 (2019),,1942-08-18,John Eastham,RBCM,V015104Y,,2020-07-01,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices,LGL2020:290,,2,reported,unobserved,RBCM:  Hollyburn Plateau,77594,VAS,77594,Juncus supiniformis,accepted
Juncus tenuis,Willd.,,slender path rush,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Juncaceae,,,Juncus,Juncus tenuis,,,,native,S5 (2015),,1972-07-19,M. Barkworth,DES,DES00025775,,2024-09-15,Guerric Haché,iNaturalist,242097770,,24,confirmed,observed,,69930,VAS,69930,Juncus tenuis,accepted
Juniperus communis,L.,,common juniper,Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,Cupressaceae,Cupressoideae,,Juniperus,Juniperus communis,,,,native,S5 (2017),,1912-08-11,John Davidson,UBC,V5200,,2024-09-30,Veronika Sitar,iNaturalist,245029434,,78,confirmed,observed,"Reported by John Davidson as Juniperus communis var. saxatilis (UBC: V5200), an out of range species; Juniperus communis var. kelleyi documented on iNaturalist; Juniperus communis var. depressa also expected; infrataxa collapsed as Juniperus communis in this summary",873482,VAS,58725,Juniperus communis,accepted
Juniperus maritima,R.P. Adams,,seaside juniper,Plantae,Tracheophyta,,,Pinopsida,,,Pinales,,,Cupressaceae,Cupressoideae,,Juniperus,Juniperus maritima,,,,native,S4S5 (2019),,2008-04-01,P. Dicer,NY,1104983,,2024-05-17,Marcel_Pepin,iNaturalist,216367323,,41,confirmed,observed,Reported by P. Dicer as Juniperus scopulorum (NY: 1104983),164313,VAS,164313,Juniperus maritima,accepted
Kalmia microphylla var. microphylla,(Hook.) A.Heller,,alpine bog laurel,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,Ericaceae,Ericoideae,Phyllodoceae,Kalmia,Kalmia microphylla,,,Kalmia microphylla microphylla,native,S5 (2020),,1914-08-01,W. Taylor,UBC,V16043,,1967-08-17,"V. Bednar, B. Fraser, Satoru Kojima, Vladimir J. Krajina",UBC,V160950,,5,reported,unobserved,,1046996,VAS,1046996,Kalmia microphylla microphylla,accepted
Kalmia microphylla var. occidentalis,(Hook.) A.Heller,(Small) Ebinger,western bog laurel,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,Ericaceae,Ericoideae,Phyllodoceae,Kalmia,Kalmia microphylla,,,Kalmia microphylla occidentalis,native,S5 (2020),,2014-07-12,Steve Ansell,iNaturalist,148574144,,2024-09-28,Evan Hersh,iNaturalist,244572315,,144,confirmed,observed,,1035494,VAS,1035494,Kalmia microphylla occidentalis,accepted
Kalmia procumbens,"(L.) Gift, Kron & P.F.Stevens",,alpine-azalea,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,Ericaceae,Ericoideae,Phyllodoceae,Kalmia,Kalmia procumbens,,,,native,S5 (2019),,2022-07-17,Caroline J,iNaturalist,126720377,,2024-07-14,Nancy Henderson,iNaturalist,229584923,,5,new 2022,observed,,204337,VAS,204337,Kalmia procumbens,accepted
Kerria japonica,(L.) DC.,,Japanese kerria,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Rosaceae,Amygdaloideae,Kerrieae,Kerria,Kerria japonica,,,,exotic,unlisted,,2020-04-17,angusdoodle,iNaturalist,42429772,,2022-05-18,sjjohnst,iNaturalist,117640204,,6,new 2020,observed,,125788,VAS,125788,Kerria japonica,accepted
Koeleria macrantha,J.A. Schultes,,prairie junegrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Koeleria,Koeleria macrantha,,,,native,S5 (2019),,2020-07-01,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices,LGL2020:294,,2024-07-29,Sierra Rempel,iNaturalist,236955261,,3,new 2020,observed,,57183,VAS,57183,Koeleria macrantha,accepted
Koeleria spicata,"(L.) Barberá, Quintanar, Soreng & P.M.Peterson",,spike trisetum,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Koeleria,Koeleria spicata,,,,native,S5 (2015),,1912-08-11,John Davidson,UBC,V21177,,2024-08-28,stem57,iNaturalist,240343864,,15,confirmed,observed,UBC:  Black Tusk valley,1538791,VAS,1538791,Koeleria spicata,accepted
Kopsiopsis hookeri,(Walp.) Govaerts,,small ground-cone,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Orobanchaceae,,Orobancheae,Kopsiopsis,Kopsiopsis hookeri,,,,native,S4 (2015),,2001-06-05,Frank Lomer,UBC,V235042,,2024-10-06,Gavin Petersen,iNaturalist,246008843,,69,confirmed,observed,,77611,VAS,77611,Kopsiopsis hookeri,accepted
Laburnum anagyroides,Medik.,,common laburnum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,Genisteae,Laburnum,Laburnum anagyroides,,,,exotic,SNA 2019,,2020-05-09,kwright,iNaturalist,45443967,,2024-05-26,Radu Scurtescu,iNaturalist,218551160,,20,new 2020,observed,,51810,VAS,51810,Laburnum anagyroides,accepted
Lactuca biennis,(Moench) Fernald,,tall blue lettuce,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,Cichorieae,Lactuca,Lactuca biennis,,,,native,S5 (2019),,2020-07-02,eschott,iNaturalist,52728175,,2021-07-04,Gwen L'Hirondelle,iNaturalist,85917081,,7,new 2020,observed,,77616,VAS,77616,Lactuca biennis,accepted
Lactuca canadensis,L.,,Canadian wild lettuce,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,Cichorieae,Lactuca,Lactuca canadensis,,,,exotic,SNA (2019),,2022-08-01,dhmredrock,iNaturalist,129092180,,2022-08-01,dhmredrock,iNaturalist,129092180,,1,new 2022,observed,,53110,VAS,53110,Lactuca canadensis,accepted
Lactuca serriola,L.,,prickly lettuce,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,Cichorieae,Lactuca,Lactuca serriola,,,,exotic,SNA (2019),,2019-05-31,Anne Chase,iNaturalist,26281140,,2023-09-21,Nancy Henderson,iNaturalist,184292900,,5,new 2019,observed,,53107,VAS,53107,Lactuca serriola,accepted
Lamium galeobdolon,(L.) Crantz,,yellow archangel,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Lamiaceae,Lamioideae,Lamieae,Lamium,Lamium galeobdolon,,,,exotic,SNA (2007),,2009-05-06,FreckLes,iNaturalist,89028060,,2024-08-18,Matthew Forster,iNaturalist,236593724,,103,confirmed,observed,,204339,VAS,204339,Lamium galeobdolon,accepted
Lamium hybridum,Vill.,,cut-leaved purple dead-nettle,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Lamiaceae,Lamioideae,Lamieae,Lamium,Lamium hybridum,,,,exotic,SNA (2000),,2020-10-26,Ben Keen,iNaturalist,63595000,,2020-10-26,Ben Keen,iNaturalist,63595000,,1,new 2020,observed,,1369716,VAS,1369716,Lamium hybridum,accepted
Lamium purpureum,L.,,red deadnettle,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Lamiaceae,Lamioideae,Lamieae,Lamium,Lamium purpureum,,,,exotic,SNA (2000),,2015-03-22,Steve Ansell,iNaturalist,149087546,,2024-05-07,kwright,iNaturalist,214324197,,44,confirmed,observed,,55851,VAS,55851,Lamium purpureum,accepted
Lappula occidentalis,(Hooker) Abrams,,bog bird's-foot lotus,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,Boraginaceae,Cynoglossoideae,Rochelieae,Lappula,Lappula occidentalis,,,,native,S5 (2000),,1916-07-26,W. Taylor,UBC,V6794,,2020-07-01,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices,LGL2020:296,,2,reported,unobserved,Likely misreported as Lappula diploloma by W. Taylor (UBC: V6794),148438,VAS,148438,Lappula occidentalis,accepted
Lapsana communis,L.,,nipplewort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,Cichorieae,Lapsana,Lapsana communis,,,,exotic,SNA (2001),,2015-06-09,hillanddale,iNaturalist,9530719,,2024-09-16,Cassidy Best,iNaturalist,242231221,,161,confirmed,observed,,55981,VAS,55981,Lapsana communis,accepted
Lathyrus japonicus,Willd.,,seaside pea,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,Fabeae,Lathyrus,Lathyrus japonicus,,,,native,S4 (2015),,1913-06-15,F. Perry,UBC,V23677,,2024-09-30,Ben Keen,iNaturalist,244940399,,167,confirmed,observed,,77638,VAS,77638,Lathyrus japonicus,accepted
Lathyrus latifolius,L.,,broad-leaved sweet pea,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,Fabeae,Lathyrus,Lathyrus latifolius,,,,exotic,SNA (2019),,2018-08-30,Ben Keen,iNaturalist,16058353,,2024-08-22,Madison Tosswill,iNaturalist,237288776,,26,new 2018,observed,,61009,VAS,61009,Lathyrus latifolius,accepted
Lathyrus nevadensis,S. Watson,,Sierra Nevada peavine,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,Fabeae,Lathyrus,Lathyrus nevadensis,,,,native,S5 (2000),,1913-06-01,W. Taylor,UBC,V23664,,2024-06-23,Rachel Munger,iNaturalist,224789127,,10,confirmed,observed,UBC:  Gambier Island,77640,VAS,77640,Lathyrus nevadensis,accepted
Lathyrus palustris,L.,,marsh pea,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,Fabeae,Lathyrus,Lathyrus palustris,,,,native,S3S4 (2015),,2004-08-12,Nick Page,Effects of Fish Habitat Restoration Activities on Plant Communities in the Squamish River Estuary: Summary Report,NPAGE2004:3,,2024-09-01,judith holm,iNaturalist,239425762,,35,confirmed,observed,,77642,VAS,77642,Lathyrus palustris,accepted
Lathyrus sylvestris,L.,,narrow-leaved everlasting-pea,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,Fabeae,Lathyrus,Lathyrus sylvestris,,,,exotic,SNA (2019),,2019-08-11,Ben Keen,iNaturalist,30648550,,2024-08-08,Leslie Lewis,iNaturalist,234589508,,20,new 2019,observed,,82740,VAS,82740,Lathyrus sylvestris,accepted
Leersia oryzoides,(L.) Sw.,,rice cutgrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Oryzoideae,Oryzeae,Leersia,Leersia oryzoides,,,,native,S4S5 (2019),,2022-07-30,Chloe Shore,iNaturalist,129439587,,2022-07-30,Chloe Shore,iNaturalist,129439587,,1,new 2022,observed,,1138095,VAS,64177,Leersia oryzoides,accepted
Lemna minor,"L,",,common duckweed,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Alismatales,,,Araceae,Lemnoideae,,Lemna,Lemna minor,,,,native,S5 (2019),,2019-12-28,Ben Keen,iNaturalist,37048511,,2024-09-19,Ben Keen,iNaturalist,242801313,,3,new 2019,observed,,54518,VAS,54518,Lemna minor,accepted
Leontodon saxatilis ssp. saxatilis,Lam.,,hairy hawkbit,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,Cichorieae,Leontodon,Leontodon saxatilis,,Leontodon saxatilis saxatilis,,exotic,SNA (2019),,2022-10-02,J Floer,iNaturalist,137304665,,2023-10-01,jaydenmarion,iNaturalist,185776113,,2,new 2022,observed,,60975,VAS,60975,Leontodon saxatilis saxatilis,accepted
Lepidium campestre,(L.) W.T. Aiton,,field peppergrass,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,Brassicoideae,Lepidieae,Lepidium,Lepidium campestre,,,,exotic,SNA (2019),,2018-06-24,Colin Barrows,iNaturalist,13970904,,2022-10-07,Jackson W.F. Chu,iNaturalist,137931870,,21,new 2018,observed,,77663,VAS,77663,Lepidium campestre,accepted
Lepidium didymum,L.,,lesser swinecress,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,Brassicoideae,Lepidieae,Lepidium,Lepidium didymum,,,,exotic,SNA (2019),,1975-06-24,M. Terry Taylor,UBC,V146567,,2022-06-23,Chloe Shore,iNaturalist,123143422,,2,confirmed,observed,,60987,VAS,60987,Lepidium didymum,accepted
Lepidium heterophyllum,Benth.,,Smith's cress,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,Brassicoideae,Lepidieae,Lepidium,Lepidium heterophyllum,,,,exotic,SNA (2019),,2019-08-11,Ben Keen,iNaturalist,30649049,,2024-07-17,John Martin,iNaturalist,230222572,,27,new 2019,observed,,77669,VAS,77669,Lepidium heterophyllum,accepted
Lepidium virginicum ssp. menziesii,L.,(DC.) Thell.,tall pepper-grass,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,Brassicoideae,Lepidieae,Lepidium,Lepidium virginicum,,Lepidium virginicum menziesii,,native,S5 (2019),,1966-07-29,A. S. Harrison,CPNWH,2509132,,2020-07-01,"LGL Limited, Environmental Research Associates, Sidney, BC",UNESCO Nomination | Átl’ka7tsem / Howe Sound Biosphere Reserve  | Appendices,LGL2020:299,,5,reported,unobserved,,79971,VAS,79971,Lepidium virginicum menziesii,accepted
Leptarrhena pyrolifolia,(D. Don) R. Br. ex Ser.,,leather-leaf saxifrage,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,Saxifragaceae,,Leptarrheneae,Leptarrhena,Leptarrhena pyrolifolia,,,,native,S5 (2015),,1913-07-30,W. Taylor,UBC,V128231,,2024-09-18,Regan Cross,iNaturalist,242676198,,111,confirmed,observed,,128870,VAS,128870,Leptarrhena pyrolifolia,accepted
Leucanthemum maximum,(Ramond) DC.,,Shasta daisy,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,Anthemideae,Leucanthemum,Leucanthemum maximum,,,,exotic,SNA (2012),,2019-07-15,thekatpiper,iNaturalist,28876923,,2024-08-15,olliegrey,iNaturalist,235971826,,17,new 2019,observed,,77719,VAS,77719,Leucanthemum maximum,accepted
Leucanthemum vulgare,Lam.,,oxeye daisy,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,Anthemideae,Leucanthemum,Leucanthemum vulgare,,,,exotic,SNA (2001),,1976-07-01,Murray Clark,UBC,V159788,,2024-09-15,Guerric Haché,iNaturalist,242099623,,141,confirmed,observed,,56057,VAS,56057,Leucanthemum vulgare,accepted
Leymus mollis ssp. mollis,(Trin.) Pilg.,,sea lyme grass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Triticeae,Leymus,Leymus Leymus mollis,,Leymus mollis mollis,,native,S5 (2019),,2014-08-12,Baxter Naday,iNaturalist,34397836,,2024-08-16,Harry Hill,iNaturalist,236164267,,30,confirmed,observed,,118426,VAS,118426,Leymus mollis mollis,accepted
Ligustrum vulgare,L.,,common privet,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Oleaceae,,,Ligustrum,Ligustrum vulgare,,,,exotic,SNA (2001),,2018-09-26,Ben Keen,iNaturalist,16953216,,2023-03-12,Ben Keen,iNaturalist,150995297,,8,new 2018,observed,,119805,VAS,119805,Ligustrum vulgare,accepted
Lilaeopsis occidentalis,J.M. Coult. & Rose,,western grasswort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,Apiaceae,Apioideae,Oenantheae,Lilaeopsis,Lilaeopsis occidentalis,,,,native,S4 (2015),,1980-01-01,L. Jones,RBCM,V199575,,2023-07-30,Gwen L'Hirondelle,iNaturalist,177047756,,12,confirmed,observed,,77742,VAS,77742,Lilaeopsis occidentalis,accepted
Lilium columbianum,Leichtlin,,columbia lily,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Liliales,,,Liliaceae,Lilioideae,Lilieae,Lilium,Lilium columbianum,,,,native,S5 (2015),,1913-08-01,John Davidson,UBC,V63199,,2024-07-30,J+A Merondun,iNaturalist,232732359,,259,confirmed,observed,,77744,VAS,77744,Lilium columbianum,accepted
Limnanthes douglasii,R. Br.,,Douglas' meadowfoam,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Limnanthaceae,,,Limnanthes,Limnanthes douglasii,,,,native,unlisted,,2021-05-18,rileyparsons,iNaturalist,79717184,,2021-05-18,rileyparsons,iNaturalist,79717184,,1,new 2021,observed,iNat: needs i.d.,51336,VAS,51336,Limnanthes douglasii,accepted
Limosella aquatica,L.,,water mudwort,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Scrophulariaceae,,Limoselleae,Limosella,Limosella aquatica,,,,native,S4 (2015),,2018-07-14,"Frank Lomer, Judith Holm",UBC,V253101,,2024-09-02,judith holm,iNaturalist,239510821,,13,new 2018,observed,,59016,VAS,59016,Limosella aquatica,accepted
Linaria dalmatica ssp. dalmatica,(L.) Mill.,,Dalmatian toadflax,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,,Linaria,Linaria dalmatica,,dalmatica,,exotic,SNA (2019),,2022-06-12,Bonnie Fairbairn,iNaturalist,121436358,,2022-06-12,Bonnie Fairbairn,iNaturalist,121436358,,1,new 2022,observed,,80002,VAS,0,,unknown
Linaria purpurea,(L.) Mill.,,purple toadflax,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,Antirrhineae,Linaria,Linaria purpurea,,,,exotic,SNA (2001),,2017-08-26,rainwalker,iNaturalist,7659837,,2024-10-04,livswain,iNaturalist,245982956,,93,new 2017,observed,,77778,VAS,77778,Linaria purpurea,accepted
Linaria vulgaris,Mill.,,butter-and-eggs,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Plantaginaceae,,Antirrhineae,Linaria,Linaria vulgaris,,,,exotic,SNA (2001),,1967-07-16,Pat Warrington,University of Lethbridge,,,2024-08-23,Matt M,iNaturalist,237507726,,10,confirmed,observed,,50790,VAS,50790,Linaria vulgaris,accepted
Linnaea borealis ssp. longiflora,L.,(Torr.) Piper & Beattie,twinflower,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,Caprifoliaceae,Linnaeoideae,,Linnaea,Linnaea borealis,,,Linnaea borealis longiflora,native,S5 (2020),,2015-03-28,Steve Ansell,iNaturalist,149091245,,2024-10-13,brenmart,iNaturalist,247227332,,229,confirmed,observed,,81026,VAS,81026,Linnaea borealis longiflora,accepted
Linum usitatissimum,L.,,common flax,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malpighiales,,,Linaceae,Linoideae,,Linum,Linum usitatissimum,,,,exotic,SNA (2019),,2020-09-13,Ben Keen,iNaturalist,59536737,,2020-10-05,Ben Keen,iNaturalist,61829180,,4,new 2020,observed,,51306,VAS,51306,Linum usitatissimum,accepted
Liriodendron tulipifera,L.,,tuliptree,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Magnoliales,,,Magnoliaceae,Liriodendroideae,,Liriodendron,Liriodendron tulipifera,,,,exotic,,,2021-05-26,creaks,iNaturalist,80382853,,2021-05-26,creaks,iNaturalist,80382853,,1,new 2021,observed,"UBC:  Gambier Island Camp Artaban, likely PLANTED",53582,VAS,53582,Liriodendron tulipifera,accepted
Lobularia maritima,(L.) Desv.,,sweet alyssum,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,Brassicoideae,Anastaticeae,Lobularia,Lobularia maritima,,,,exotic,SNA (2019),,2020-10-14,Smita Patel,iNaturalist,63135688,,2022-08-01,savannahrouse,iNaturalist,129598682,,3,new 2020,observed,,56992,VAS,56992,Lobularia maritima,accepted
Lolium arundinaceum,(Schreb.) Darbysh.,,tall fescue,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Lolium,Lolium arundinaceum,,,,exotic,SNA (2019),,2020-09-02,John D Reynolds,iNaturalist,59102758,,2024-06-01,judith holm,iNaturalist,219886924,,3,new 2020,observed,,164708,VAS,164708,Lolium arundinaceum,accepted
Lolium perenne,L.,,perennial ryegrass,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Poaceae,Pooideae,Poeae,Lolium,Lolium perenne,,,,exotic,SNA (2019),,2020-06-02,Ben Keen,iNaturalist,48302899,,2024-07-09,Thom,iNaturalist,228289864,,9,new 2020,observed,,52801,VAS,52801,Lolium perenne,accepted
Lomatium nudicaule,(Nutt.) J.M.Coult. & Rose,,barestem desert-parsley,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Apiales,,,Apiaceae,Apioideae,Selineae,Lomatium,Lomatium nudicaule,,,,native,S4S5 (2019),,2024-05-15,lfinch,iNaturalist,215992699,,2024-05-15,lfinch,iNaturalist,215992699,,1,new 2024,observed,,77818,VAS,77818,Lomatium nudicaule,accepted
Lonicera ciliosa,(Pursh) Poir. ex DC.,,orange honeysuckle,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,Caprifoliaceae,Caprifolioideae,,Lonicera,Lonicera ciliosa,,,,native,S5 (2000),,1961-05-25,"Katherine I. Beamish, Freek Vrugtman, C. Campbell",UBC,V184509,,2024-09-16,Cassidy Best,iNaturalist,242235525,,305,confirmed,observed,,77832,VAS,77832,Lonicera ciliosa,accepted
Lonicera hispidula,(Lindl.) Doug. ex Torr. & Gray,,pink honeysuckle,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,Caprifoliaceae,Caprifolioideae,,Lonicera,Lonicera hispidula,,,,native,S5 (2000),,2015-04-18,Steve Ansell,iNaturalist,149149212,,2024-10-06,Gavin Petersen,iNaturalist,246050295,,47,confirmed,observed,,53416,VAS,53416,Lonicera hispidula,accepted
Lonicera involucrata var. involucrata,(Richardson) Banks ex Spreng.,,twinberry honeysuckle,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,Caprifoliaceae,Caprifolioideae,,Lonicera,Lonicera involucrata,,,Lonicera involucrata involucrata,native,S5,,1997-05-18,Gerald B. Straley,UBC,V226285,,2024-08-25,Morgan McMullen,iNaturalist,238111335,,182,confirmed,observed,,81040,VAS,81040,Lonicera involucrata involucrata,accepted
Lonicera utahensis,S.Watson,,Utah honeysuckle,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Dipsacales,,,Caprifoliaceae,Caprifolioideae,,Lonicera,Lonicera utahensis,,,,native,S5 (2019),,1913-08-04,John Davidson,UBC,V7331,,2024-10-13,brenmart,iNaturalist,247226088,,14,confirmed,observed,,148098,VAS,148098,Lonicera utahensis,accepted
Lotus corniculatus,L.,,bird's-foot trefoil,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,Loteae,Lotus,Lotus corniculatus,,,,exotic,SNA (2001),,2011-07-10,hillanddale,iNaturalist,9630962,,2024-08-17,zihuadean,iNaturalist,236374467,,107,confirmed,observed,,47435,VAS,47435,Lotus corniculatus,accepted
Lotus pedunculatus,Cav.,,greater bird's-foot-trefoil,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,Loteae,Lotus,Lotus pedunculatus,,,,exotic,SNA (2019),,2020-06-11,jaeldridge,iNaturalist,62564539,,2024-08-04,Joan Septembre,iNaturalist,234028569,,13,new 2020,observed,,164834,VAS,164834,Lotus pedunculatus,accepted
