"","review_status","TO_REVIEW","taxonName","is_doubtful","is_persisting_or_waif","is_planted","critical_comments","reviewed_by","OriginalSaanichComment","HJ_comment","FPNW_comment","RevisedComment","HJ_AdditionsDeletionsTo_OriginalSaanichComment","linkName","confidence","has_voucher","n_total","n_research_grade","n_preserved_specimen","n_human_observation","n_unspecified","per_needs_id","regionally_confirmed","introduction_status","first_record_date","first_record_observer","first_record_source","first_record_ID","first_record_location","last_record_date","last_record_observer","last_record_source","last_record_ID","last_record_location","found_in_cat","found_in_cat_research_grade","commonName","family","taxonRank","linkTaxonID","annotation_status","CategoricalAbundanceProposed2026","Trend1970to2026"
"291","remaining","maybe","Epilobium torreyi","no","no","no","Note: ""One population has not been observed since 1966 and the other has not been observed since 1993. Neither site has been visited regularly and either may have been extirpated as recently as 2000."" (COSEWIC) Worth checking with latest CDC info.  TL","TL","Known only from Thetis Lake Park, where it was collected by M. C. Melburn in 1959-67; most likely previously overlooked. (Gayophytum strictum Gray, B. diffusa Greene)","Known only from Thetis Lake Park, where it was collected by M. C. Melburn in 1959-67; most likely previously overlooked. MD Bazan Bay meadow 1966-2004. AC Thetis Lake 1977, MD Thetis Lake 2013,",NA,"Known only from Thetis Lake Park, where it was collected by M. C. Melburn in 1959-67; most likely previously overlooked. MD Bazan Bay meadow 1966-2004. AC Thetis Lake 1977, MD Thetis Lake 2013,","MD Bazan Bay meadow 1966-2004. AC Thetis Lake 1977, MD Thetis Lake 2013,","Epilobium torreyi","medium-high","yes",5,5,0,0,0,0,"yes","native","1961-06-28","M.C. Melburn","UBC","V95206","Thetis Lake Park","1977-07-05","Adolf Ceska; Oldriska Ceska","RBCM","RBCM:Botany:V183083","Thetis Lake: Right of Pike Lake Road; towards Craigflower Creek.","yes","yes",NA,"Onagraceae","species","58949","complete",NA,NA
"292","remaining","maybe","Euphorbia exigua","no","no","no",NA,"TL","Native of Europe; a weed of arable land; Victoria; not collected recently.","Native of Europe; a weed of arable land; Victoria; not collected recently. Eastham collections late 1930s, Gussow Cadboro Bay 1945.",NA,"Native of Europe; a weed of arable land; Victoria; not collected recently. Eastham collections late 1930s,  Gussow Cadboro Bay 1945.","Eastham collections late 1930s,  Gussow Cadboro Bay 1945.","Euphorbia exigua","medium-high","yes",2,2,0,0,0,0,"yes","exotic","1939-06-12","J.W. Eastham","RBCM","V011633A","Victoria, Beacon Hill","1945-09-05","H. T. Gussow","BBM","3BFDDFEE-7977-054E-8F6D-2486E48AFB72","cadboro bay, Victoria","yes","yes",NA,"Euphorbiaceae","species","162822","complete",NA,NA
"293","remaining","maybe","Fragaria vesca ssp. californica","no","no","no",NA,"TL","Wooded areas, streambanks, and open grassland; common throughout. (F. bracteata Heller)","Wooded areas, streambanks, and open grassland; common throughout.",NA,"Wooded areas, streambanks, and open grassland; common throughout.",NA,"Fragaria vesca californica","medium-high","yes",1,1,0,0,0,0,"yes","native","1896-05-03","J.R. Anderson","UBC","V080218","Vancouver Island; Esquimalt","1896-05-03","J.R. Anderson","UBC","V080218",NA,"yes","yes",NA,"Rosaceae",NA,NA,"complete",NA,NA
"294","remaining","maybe","Genista tinctoria","no","no","no",NA,"TL",NA,"Marr beside Copley Park at Carey and Grange roads 2008.",NA,"Marr beside Copley Park at Carey and Grange roads 2008.","Marr beside Copley Park at Carey and Grange roads 2008.","Genista tinctoria","medium-high","yes",3,3,0,0,0,0,"yes","exotic","2008-11-10","K. Marr","RBCM","V204307","Victoria: beside Copley Park at Carey and Grange roads.","2008-11-10","Marr, Kendrick L.","CMN","ccf0d0a7-667d-67d4-8d95-0846cdfd5244","Victoria; beside Copley Park at Carey and Grange roads.","yes","yes",NA,"Fabaceae","species","163222","complete",NA,NA
"295","remaining","maybe","Glyceria borealis","no","no","no",NA,"TL","Wet places and shallow water; rare; shores of Beaver and Thetis Lakes. (Panicularia borealis Nash)","Wet places and shallow water; rare; shores of Beaver and Thetis Lakes. A&O Ceska Prospect Lake and Florence lake.",NA,"Wet places and shallow water; rare; shores of Beaver and Thetis Lakes. A&O Ceska Prospect Lake and Florence lake.","A&O Ceska Prospect Lake and Florence lake.","Glyceria borealis","medium-high","yes",3,3,0,0,0,0,"yes","native","1914-06-16","J.M. Macoun","RBCM","V000597","Beaver Lake","1999-08-04","Adolf Ceska; Oldriska Ceska; Adriane Pollard","RBCM","RBCM:Botany:V182497","Prospect Lake: golf course","yes","yes",NA,"Poaceae","species","77287","complete",NA,NA
"296","remaining","maybe","Glyceria declinata","no","no","no",NA,"TL",NA,"AC Rithet's Bog 1972 locality of Riccia cavernosa.",NA,"AC Rithet's Bog 1972 locality of Riccia cavernosa.","AC Rithet's Bog 1972 locality of Riccia cavernosa.","Glyceria declinata","medium-high","yes",2,2,0,0,0,0,"yes","exotic","1972-06-20","A. Ceska","RBCM","V155037","Victoria; Royal Oak: Rithet's Swamp (Bog)","1972-06-20","Adolf Ceska","RBCM","RBCM:Botany:V155037","Victoria; Royal Oak: Rithet's Swamp (Bog)","yes","yes",NA,"Poaceae","species","77288","complete",NA,NA
"297","remaining","maybe","Glyceria leptostachya","no","no","no",NA,"TL",NA,"Check locations. Possibly Saanich RNVPBC. GD Partridge Hills, AC Partridge Hills 1971. Both in Pease Creek drainage.",NA,"Check locations. Possibly Saanich RNVPBC. GD Partridge Hills, AC Partridge Hills 1971. Both in Pease Creek drainage.","Check locations. Possibly Saanich RNVPBC. GD Partridge Hills, AC Partridge Hills 1971. Both in Pease Creek drainage.","Glyceria leptostachya","medium-high","yes",2,2,0,0,0,0,"yes","native","1971-08-19","A. Ceska","RBCM","V155038","Victoria, Pease Lake","1971-08-19","Adolf Ceska","RBCM","RBCM:Botany:V155038","48.55, -123.5","yes","yes",NA,"Poaceae","species","77292","complete",NA,NA
"298","remaining","maybe","Glyceria occidentalis","no","no","no",NA,"TL","Margins of shallow lakes; sporadic in Saanich. (Panicularia occidentalis Piper)","cross of G. fluitans and G. leptostachya. A&O Ceska Discovery Island 1976. A&O Ceska Rithet's bog 1973. A&O Ceska Metchosin 1977. A&O Ceska Durrance Lake 1976.",NA,"cross of G. fluitans and G. leptostachya. A&O Ceska Discovery Island 1976. A&O Ceska Rithet's bog 1973. A&O Ceska Metchosin 1977. A&O Ceska Durrance Lake 1976.","cross of G. fluitans and G. leptostachya. A&O Ceska Discovery Island 1976. A&O Ceska Rithet's bog 1973. A&O Ceska Metchosin 1977. A&O Ceska Durrance Lake 1976.  [SZCZAWINSKI TEXT DELETED BY HJ: Margins of shallow lakes; sporadic in Saanich. (Panicularia occidentalis Piper)]","Glyceria × occidentalis; Glyceria occidentalis","medium-high","yes",7,5,0,0,0,28.57,"yes","native","1965-06-10","M.C. Melburn","RBCM","V102107","Thetis Lake Park","1977-07-03","Adolf Ceska; Oldriska Ceska","RBCM","RBCM:Botany:V155032","Metchosin: end of Taylor Road","yes","yes","Western Manna Grass","Poaceae","species","61060","complete",NA,NA
"299","remaining","maybe","Gypsophila paniculata","no","no","no",NA,"TL",NA,"Marr Langford Highway median 2007.",NA,"Marr Langford Highway median 2007.","Marr Langford Highway median 2007.","Gypsophila paniculata","medium-high","yes",2,2,0,0,0,0,"yes","exotic","2007-07-29","K. Marr","RBCM","V201741","Langford: Highway 1 median, SE of Highlands exit (to Bear Mountain) ","2007-07-29","Kendrick Marr","RBCM","RBCM:Botany:V201741","Langford: Highway 1 median, SE of Highlands exit (to Bear Mountain)","yes","yes",NA,"Caryophyllaceae","species","77315","complete",NA,NA
"300","remaining","maybe","Helianthus maximiliani","no","no","no","A Preliminary Catalogue of the Flora of Vancouver and Queen Charlotte Islands published in 1921.","TL","Rare; known only from the Outer Wharf, Victoria, where it was collected by J. Macoun in 1913; record listed in A Preliminary Catalogue of the Flora of Vancouver and Queen Charlotte Islands most likely refers to the same specimen.","Rare; known only from the Outer Wharf, Victoria, where it was collected by J.M. Macoun in 1913; record listed in A Preliminary Catalogue of the Flora of Vancouver and Queen Charlotte Islands most likely refers to the same specimen.",NA,"Rare; known only from the Outer Wharf, Victoria, where it was collected by J. Macoun in 1913; record listed in A Preliminary Catalogue of the Flora of Vancouver and Queen Charlotte Islands most likely refers to the same specimen.",NA,"Helianthus maximiliani","medium-high","yes",3,3,0,0,0,0,"yes","native","1913","J.M. Macoun","Flora of Vancouver and Queen Charlotte Islands","p. 83","Outer Wharf , Victoria","1913-07-23","John Macoun","CPNWH","15028e4b-b00e-4ed8-bdc6-28bdb7c1147e","48.416667, -123.4","yes","yes",NA,"Asteraceae","species","130192","complete",NA,NA
"301","remaining","maybe","Hemizonella minima","no","no","no","Hardy = G.A. Hardy, HLR = H.L. Roemer, Empress Mt record = ??? out of range?(TL)","TL",NA,"Hardy Mt Finlayson 1952, HLR Mt Work 1996. Empress Mt record ? Outside range.",NA,"Hardy Mt Finlayson 1952, HLR Mt Work 1996. Empress Mt record ? Outside range.","Hardy Mt Finlayson 1952, HLR Mt Work 1996. Empress Mt record ? Outside range.","Hemizonella minima","medium-high","yes",3,3,0,0,0,0,"yes","native","1952-05-16","G.A. Hardy","RBCM","V022796","Mount Finlayson","1996-05-31","Hans Roemer","RBCM","RBCM:Botany:V168050","Mount Work: upper SW slope","yes","yes",NA,"Asteraceae","species","77367","complete",NA,NA
"302","remaining","maybe","Holosteum umbellatum ssp. umbellatum","no","no","no",NA,"TL","Native of Europe; weed of cultivated ground; Saanichton.","Native of Europe; weed of cultivated ground; Saanichton. Collections from 1939 and 1940 at Dominion Experiment Station. FL several collections lower mainland.",NA,"Native of Europe; weed of cultivated ground; Saanichton. Collections from 1939 and 1940 at Dominion Experiment Station. FL several collections lower mainland.","Collections from 1939 and 1940 at Dominion Experiment Station. FL several collections lower mainland.","Holosteum umbellatum","medium-high","yes",5,5,0,0,0,0,"yes","exotic","1939-04-18","E.C. Reid","RBCM","V011501","Saanichton: Dominion Experimental Station","1940-03-26","E. C. Reid","BBM","17029066-2508-1241-9696-29BAB312E208","Saanichton, Experimental Farm","yes","yes",NA,"Caryophyllaceae","species","77429","complete",NA,NA
"303","remaining","maybe","Hordeum jubatum ssp. intermedium","no","no","no",NA,NA,NA,NA,NA,NA,NA,"Hordeum jubatum intermedium","medium-high","yes",5,5,0,0,0,0,"yes","native","1965-08-13","M. C. (Miss) Melburn","CPNWH","cea3cca2-882f-41d1-8b64-bd5c72978c92","48.433333, -123.466667","1976-08-02","James J. Pojar","CPNWH","50a5f170-a53b-4a32-82a8-292f2f5b1208","48.616667, -123.3","yes","yes",NA,"Poaceae","subspecies","236440","complete",NA,NA
"304","remaining","maybe","Hordeum murinum ssp. glaucum","no","no","no",NA,NA,NA,NA,NA,NA,NA,"Hordeum murinum glaucum","medium-high","yes",3,3,0,0,0,0,"yes","exotic","2007-06-13","Kendrick L. Marr","CPNWH","0da3d8ba-45a0-4890-9305-f4c77c4418a1","48.434444, -123.38","2007-06-18","Kendrick L. Marr","CPNWH","0da3d8ba-45a0-4890-9305-f4c77c4418a1","48.434444, -123.38","yes","yes",NA,"Poaceae","subspecies","61204","complete",NA,NA
"305","remaining","maybe","Humulus lupulus var. neomexicanus","no","no","no","synonym of Humulus neomexicanus according to FPNW",NA,NA,NA,NA,NA,NA,"Humulus neomexicanus","medium-high","no",11,8,0,0,0,27.27,"yes","unknown","2019-09-13","mikasa","iNaturalist","https://www.inaturalist.org/observations/33656647","48.442607, -123.339617","2023-10-17","jamesolsonkeating","iNaturalist","https://www.inaturalist.org/observations/192667484","48.469355, -123.314933","yes","yes","Western Hop","Cannabaceae","species","1527029","complete",NA,NA
"306","remaining","maybe","Isoetes maritima","no","no","no",NA,NA,NA,NA,NA,NA,NA,"Isoetes maritima","medium-high","yes",5,5,0,0,0,0,"yes","native","1914-07-13","John Macoun","RBCM","RBCM:Botany:V000265B","Elk Lake: shore of lake","1972-08-11","Brayshaw, Thomas C.","CMN","01ef38dc-1f2e-f2e4-8695-3abadae9266e","Prospect Lake","yes","yes",NA,"Isoetaceae","species","137473","complete",NA,NA
"307","remaining","maybe","Isoetes tenella","no","no","no","Note: Found under synonym I. echinospora. F = Field Museum Chicago, Illinois, USA. TL","TL","Amphibious or permanently immersed in lakes, ponds, and pools; this species has been known as I. echinospora Dur., or as I. brownii Dur., but the older name I. setacea is valid; Elk Lake and Goldstream areas (I. muricata Dur., I. maritima Underw.).","Amphibious or permanently immersed in lakes, ponds, and pools. Elk Lake and Goldstream areas. TCB collection Prospect Lake 1972. TCMT Teanook Lake 1972.",NA,"Amphibious or permanently immersed in lakes, ponds, and pools. Elk Lake and Goldstream areas. TCB collection Prospect Lake 1972. TCMT Teanook Lake 1972.","TCB collection Prospect Lake 1972. TCMT Teanook Lake 1972.","Isoetes tenella; Isoetes echinospora","medium-high","yes",4,4,0,0,0,0,"yes","native","1887-08-10","J.M. Macoun","F","C0611200F","Victoria","1972-08-11","J. T. Howell","F","81c4b52b-d3a3-4714-a702-990b5debddd4","Victoria","yes","yes",NA,"Isoetaceae","species","77513","complete",NA,NA
"308","remaining","maybe","Isolepis setacea","no","no","no","Note: ","TL","Listed in the Provincial Museum Report for 1921 as occurring in Cadboro Bay, collected by Malte; specimen not examined. (H. aristulata Smyth).","1921 original collection for Cadboro Bay misidentified as Hemicarpha micrantha. Relocated and reidentified as Isolepis by A&O Ceska 1980. Plants still in existance at site.",NA,"1921 original collection for Cadboro Bay misidentified as Hemicarpha micrantha. Relocated and reidentified as Isolepis by A&O Ceska 1980. Plants still in existance at site.","1921 original collection for Cadboro Bay misidentified as Hemicarpha micrantha. Relocated and reidentified as Isolepis by A&O Ceska 1980. Plants still in existance at site. [SZCZAWINSKI TEXT DELETED BY HJ: Listed in the Provincial Museum Report for 1921 as occurring in Cadboro Bay, collected by Malte; specimen not examined. (H. aristulata Smyth).]","Isolepis setacea","medium-high","yes",2,2,0,0,0,0,"yes","exotic","1961-06-21","J.A. Calder","WTU","215931","Between Royal Oak and Quadra on outskirts of Voctoria","1961-06-21","Calder J. A.","Moscow State University","MW0571867","48.495678, -123.37976","yes","yes",NA,"Cyperaceae","species","77517","complete",NA,NA
"309","remaining","maybe","Juncus alpinoarticulatus","no","no","no","Note: USU = Utah State University TL","TL","Wet places; rare; restricted to North Saanich where it was collected by M. C. Melburn in 1959; variable plant with the flowers from all sessile to all pedicellate and similar to J. articulatus. (J. richardsonianus Schult. )","Melburn voucher re-identified as J. articulatus. Check voucher for current id. Bonnet Turner's Bog 1970.",NA,"Melburn voucher re-identified as J. articulatus. Check voucher for current id. Bonnet Turner's Bog 1970.","Melburn voucher re-identified as J. articulatus. Check voucher for current id. Bonnet Turner's Bog 1970. [SZCZAWINSKI TEXT DELETED BY HJ: Wet places; rare; restricted to North Saanich where it was collected by M. C. Melburn in 1959; variable plant with the flowers from all sessile to all pedicellate and similar to J. articulatus. (J. richardsonianus Schult. )]","Juncus alpinoarticulatus","medium-high","yes",3,3,0,0,0,0,"yes","native","1961-06-03","J.A. Calder","USU","UTC00272219","Just south of Cloake Hill, Saanich Peninsula","1961-06-23","Calder, J.A.; K.T. Mackay","USU","213596dc-874b-43d9-a15c-68755bcc9ddc","Vancouver Island, just south of Cloake Hill, Saanich Peninsula.","yes","yes",NA,"Juncaceae","species","164252","complete",NA,NA
"310","remaining","maybe","Juncus gerardii ssp. gerardii","no","no","no",NA,"TL",NA,"Esquimalt Lagoon, Island View Beach TCB Discovery Island 1991.AC Tillicum (on Gorge water?) 1991.",NA,"Esquimalt Lagoon, Island View Beach TCB Discovery Island 1991.AC Tillicum (on Gorge water?) 1991.","Esquimalt Lagoon, Island View Beach TCB Discovery Island 1991.AC Tillicum (on Gorge water?) 1991.","Juncus gerardi","medium-high","yes",6,3,0,0,0,50,"yes","unknown","1939-06-13","J.W. Eastham","UBC","V22364","Saanich, edge of Saanichton","1991-10-18","Adolf Ceska; Gail Berg","RBCM","RBCM:Botany:V174357","48.45, -123.4","yes","yes","Saltmeadow Rush","Juncaceae","species","320881","complete",NA,NA
"311","remaining","maybe","Juncus laccatus","no","no","no","Note: CMN = Canadian Museum of Nature Herbarium TL","TL",NA,"TCB Kings Pond: Ascot & Queensbury Streets 1980. Previously considered J. effusus var. gracilis",NA,"TCB Kings Pond: Ascot & Queensbury Streets 1980. Previously considered J. effusus var. gracilis","TCB Kings Pond: Ascot & Queensbury Streets 1980. Previously considered J. effusus var. gracilis","Juncus laccatus","medium-high","yes",5,5,0,0,0,0,"yes","native","1908-07-28","J.M. Macoun","CMN","CAN10771"," Sidney","1980-06-12","T. Brayshaw","RBCM","RBCM:Botany:V106227","Victoria; Kings Pond: Ascot & Queensbury Streets","yes","yes",NA,"Juncaceae","species","77577","complete",NA,NA
"312","remaining","maybe","Juncus supiniformis","no","no","no",NA,"TL","Boggy ground; rare; known only from Rithet's Bog, Royal Oak, where it was collected by G. A. Hardy in 1950; J. oreganus complex is often treated jointly with J. supiniformis Engl., which does not occur in the area of study.","Boggy ground; rare; known only from Rithet's Bog, Royal Oak, where it was collected by G. A. Hardy in 1950. Add Langford (L?) record. Anderson S Saanich 1917.",NA,"Boggy ground; rare; known only from Rithet's Bog, Royal Oak, where it was collected by G. A. Hardy in 1950. Add Langford (L?) record. Anderson S Saanich 1917.","Add Langford (L?) record. Anderson S Saanich 1917. [SZCZAWINSKI TEXT DELETED BY HJ: J. oreganus complex is often treated jointly with J. supiniformis Engl., which does not occur in the area of study.]","Juncus supiniformis","medium-high","yes",2,2,0,0,0,0,"yes","native","1917-06-20","J.R. Anderson","RBCM","V026786","South Saanich","1917-06-20","James Anderson","RBCM","RBCM:Botany:V026786","48.55, -123.366667","yes","yes",NA,"Juncaceae","species","77594","complete",NA,NA
"313","remaining","maybe","Juniperus communis var. kelleyi","no","no","no","Washington University at Pullman, Marion Owenby Herbarium TL","TL","Collected by M. C. Melburn in 1966 at Thetis Lake Park; not known from other areas (=var. montana Ait.).","Collected by M. C. Melburn in 1966 at Thetis Lake Park; HLR reports stand on Henderson Pt. & AC in Thetis Lake Park",NA,"Collected by M. C. Melburn in 1966 at Thetis Lake Park; HLR reports stand on Henderson Pt. & AC in Thetis Lake Park","HLR reports stand on Henderson Pt. & AC in Thetis Lake ","Juniperus communis kelleyi","medium-high","yes",3,3,0,0,0,0,"yes","native","1920-07-24","J.R. Anderson","WSU","WS45497","Victoria, Cedar Hill Road","1920-07-24","J.R. Anderson","WS","c9f2fb23-5c66-4e89-aea9-9a72314078d0","Near Victoria.","yes","yes",NA,"Cupressaceae","variety","873482","complete",NA,NA
"314","remaining","maybe","Leontodon crispus","no","no","no","consider removing. Not in FPNW or BC Flora",NA,NA,NA,NA,NA,NA,"Leontodon crispus","medium-high","yes",12,12,0,0,0,0,"no","exotic","1938-07-13","John W. Eastham","BBM","7CE29DF8-E1DF-0041-8CAD-535442E2D88E","lake hill, Victoria, Vancouver Island","1995-07-01","Thomas C. Brayshaw","BBM","6F2AEF41-1C90-9E45-A04D-366D7CF99680","Vancouver Island, Victoria, south of south end of douglas St., 92b 6","yes","yes",NA,"Asteraceae","species","60972","complete",NA,NA
"315","remaining","maybe","Lepidium draba","no","no","no","Found under synonym Cardaria draba. (TL)","TL","Native of Europe; roadsides and fields; occasional as a weed. (Lepidium draba L., Nasturtium draba Crantz.)","Native of Europe; roadsides and fields; occasional as a weed.",NA,"Native of Europe; roadsides and fields; occasional as a weed.",NA,"Lepidium draba","medium-high","yes",4,4,0,0,0,0,"yes","exotic","1900-05-15","J.R. Anderson","RBCM","V002203","James Bay Flats","1956-06-12","M. Melburn","RBCM","RBCM:Botany:V100976","Victoria: Wharf Street parking lot","yes","yes",NA,"Brassicaceae","species","63352","complete",NA,NA
"316","remaining","maybe","Lepidium ruderale","no","no","no",NA,"TL",NA,"Harrison Island View Beach 1966.",NA,"Harrison Island View Beach 1966.","Harrison Island View Beach 1966.","Lepidium ruderale","medium-high","yes",3,3,0,0,0,0,"yes","exotic","1966-05-25","A.S. Harrison","CNWPH","2508974","Saanich; Island View Beach","1966-05-25","A. S. Harrison","CPNWH","b1a13dbd-d8da-4436-9425-bedab5446843","48.575, -123.366667","yes","yes",NA,"Brassicaceae","species","164526","complete",NA,NA
"317","remaining","maybe","Lepidium sativum","no","no","no",NA,"TL","Native of Egypt and West Asia; cultivated as a salad herb all over the world; occasionally escaping from cultivation in some areas. (Crucifera nasturtium Krause)","Native of Egypt and West Asia; cultivated as a salad herb all over the world; occasionally escaping from cultivation in some areas. Macoun Sidney 1913.",NA,"Native of Egypt and West Asia; cultivated as a salad herb all over the world; occasionally escaping from cultivation in some areas. Macoun Sidney 1913.","Macoun Sidney 1913.","Lepidium sativum","medium-high","yes",5,5,0,0,0,0,"yes","exotic","1913-07-22","J.M. Macoun","RBCM","V002191","Sidney","1913-07-22","John M. Macoun","CPNWH","83a9352d-aa4a-4f92-bb92-3a2662367d3f","48.65, -123.4","yes","yes",NA,"Brassicaceae","species","164527","complete",NA,NA
"318","remaining","maybe","Lupinus arcticus ssp. arcticus","no","no","no","not in FPNW but in BC Flora",NA,NA,NA,NA,NA,NA,"Lupinus arcticus","medium-high","yes",3,3,0,0,0,0,"yes","native","2004-05-13","Hans L. Roemer","CPNWH","da66e986-b14a-4e21-934c-a0f0508b4125","48.316667, -123.583333","2004-05-13","Hans L. Roemer","CPNWH","da66e986-b14a-4e21-934c-a0f0508b4125",NA,"yes","yes",NA,"Fabaceae","species","143688","complete",NA,NA
"319","remaining","maybe","Lupinus nanus","no","no","no",NA,NA,NA,NA,NA,NA,NA,"Lupinus nanus","medium-high","yes",3,3,0,0,0,0,"yes","native","1990-05-13","Adolf Ceska","CPNWH","56f1309f-24b5-4ee8-b931-5580a4bf15e2","48.433333, -123.366667","1990-05-26","Adolf Ceska","CPNWH","56f1309f-24b5-4ee8-b931-5580a4bf15e2","48.433333, -123.366667","yes","yes",NA,"Fabaceae","species","50612","complete",NA,NA
"320","remaining","maybe","Lupinus polyphyllus var. polyphyllus","no","no","no",NA,NA,NA,NA,NA,NA,NA,"Lupinus polyphyllus polyphyllus","medium-high","yes",7,7,0,0,0,0,"yes","native","1908-06-13","J. Macoun","RENO","6bff3a0c-1ce5-408b-80bb-4a49cd061ed0","Vancouver Island, vicinity of Victoria.","1924-05-27","Charles F. Newcombe","CPNWH","0295fd06-7757-4360-9912-d350528eae2e","48.483333, -123.383333","yes","yes",NA,"Fabaceae","variety","61016","complete",NA,NA
"321","remaining","maybe","Lysimachia europaea","no","no","no","Note: BABY = B.A. Bennett Herbarium (BABY) Yukon Government. TL ","TL","Bogs and swamps along the Coast; known from Rithet's Bog and Beaver Lake; often considered as a variety or subspecies of the circumpolar T. europea L. (T. europea ssp. arctica Hult.)","Bogs and swamps along the Coast; known from Rithet's Bog and Beaver Lake.",NA,"Bogs and swamps along the Coast; known from Rithet's Bog and Beaver Lake.","[SZCZAWINSKI TEXT DELETED BY HJ: often considered as a variety or subspecies of the circumpolar T. europea L. (T. europea ssp. arctica Hult.)]","Lysimachia borealis; Lysimachia europaea","medium-high","yes",5,3,0,0,0,40,"yes","unknown","1962-05-30","J. Hett","BABY","BABY-00106","Happy Valley near Victoria","2011-06-06","J. Hett","BABY","BABY-00106","Vancouver Island, Happy Valley near Victoria","yes","yes","Arctic Starflower","Primulaceae","species","204174; 716947","complete",NA,NA
"322","remaining","maybe","Monotropa hypopitys","no","no","no",NA,"TL",NA,"Buckland Glen lake 1940. iNaturalist observation Mary Lake 2020.",NA,"Buckland Glen lake 1940. iNaturalist observation Mary Lake 2020.","Buckland Glen lake 1940. iNaturalist observation Mary Lake 2020.","Monotropa hypopitys","medium-high","yes",2,2,0,0,0,0,"yes","native","1940-05-24","D.C. Buckland","UBC","V82739","Glen Lake, Colwood","2020-06-08","rwr","iNaturalist","https://www.inaturalist.org/observations/49045624","48.499711, -123.520408","yes","yes","Pinesap","Ericaceae","species","59986","complete",NA,NA
"323","remaining","maybe","Myriophyllum verticillatum","no","no","no",NA,"TL",NA,"A&OC Spencer Pond 1987, Hardy Highlands 1945, CFN Elk Lake 1917.",NA,"A&OC Spencer Pond 1987, Hardy Highlands 1945, CFN Elk Lake 1917.","A&OC Spencer Pond 1987, Hardy Highlands 1945, CFN Elk Lake 1917.","Myriophyllum verticillatum","medium-high","yes",5,5,0,0,0,0,"yes","native","1917-08-08","W. Carter","RBCM","V003481","Elk Lake","1987-05-07","Adolf Ceska; Oldriska Ceska","RBCM","RBCM:Botany:V162792","48.452778, -123.519722","yes","yes",NA,"Haloragaceae","species","78158","complete",NA,NA
"324","remaining","maybe","Najas flexilis","no","no","no",NA,"TL","Lakes and sluggish waters; rare; known only from Elk Lake. (Caulinia flexilis Willd.)","Lakes and sluggish waters; rare; Elk Lake, Teanook Lake, Second Lake, Pease Lake, Thetis Lake",NA,"Lakes and sluggish waters; rare; Elk Lake, Teanook Lake, Second Lake, Pease Lake, Thetis Lake","Elk Lake, Teanook Lake, Second Lake, Pease Lake, Thetis Lake","Najas flexilis","medium-high","yes",6,6,0,0,0,0,"yes","native","1963-07-27","T.M.C. Taylor","UBC","V107928","Teanook Lake","1971-08-25","Adolf Ceska","RBCM","RBCM:Botany:V189511","48.466667, -123.466667","yes","yes",NA,"Hydrocharitaceae","species","78160","complete",NA,NA
"325","remaining","maybe","Nasturtium microphyllum","no","no","no",NA,"TL",NA,"PDW John Dean Park pool 1979. Long 1974 location unknown, TCB Chatham Island 1992.",NA,"PDW John Dean Park pool 1979. Long 1974 location unknown, TCB Chatham Island 1992.","PDW John Dean Park pool 1979. Long 1974 location unknown, TCB Chatham Island 1992.","Nasturtium microphyllum","medium-high","yes",8,6,0,0,0,25,"yes","exotic","1947-06-05","J. Wagg","RBCM","V028582","Cowichan Lake","1992-05-16","T. Brayshaw; Michael Shepard; Mary-Anne Montgomery","RBCM","RBCM:Botany:V177581","48.433333, -123.266667","yes","yes",NA,"Brassicaceae","species","204362","complete",NA,NA
"326","remaining","maybe","Neslia paniculata","no","no","no",NA,"TL","Native of Europe; open, waste places and cultivated ground; a common weed in the Sidney area.","Native of Europe; open, waste places and cultivated ground; a common weed in the Sidney area.",NA,"Native of Europe; open, waste places and cultivated ground; a common weed in the Sidney area.",NA,"Neslia paniculata","medium-high","yes",4,4,0,0,0,0,"yes","exotic","1913-06-26","J.R. Anderson","RBCM","V002208","Sidney: in the Park","1932-07-14","V. Goddard","RBCM","RBCM:Botany:V023016","48.65, -123.4","yes","yes",NA,"Brassicaceae","species","129855","complete",NA,NA
"327","remaining","maybe","Oxybasis chenopodioides","no","no","no",NA,NA,NA,NA,NA,NA,NA,"Oxybasis chenopodioides","medium-high","yes",3,3,0,0,0,0,"yes","native","1991-11-13","Michael G. Shepard","CPNWH","e91c0afe-25d5-401b-948f-e2a9b5d309fa","48.433333, -123.233333","1991-11-13","Michael G. Shepard","CPNWH","e91c0afe-25d5-401b-948f-e2a9b5d309fa",NA,"yes","yes",NA,"Amaranthaceae","species","896905","complete",NA,NA
"328","remaining","maybe","Oxybasis macrosperma","no","no","no",NA,NA,NA,NA,NA,NA,NA,"Chenopodium macrospermum halophilum","medium-high","yes",4,4,0,0,0,0,"yes","exotic","1908-07-13","Macoun, John","CMN","91f2d7d1-2fcf-fcf4-be84-65b9a3db70b5","Vicinity of Sidney.","1913-09-12","Macoun, John","CMN","30872727-dcdb-cdb4-f59f-f9c06c18d04b","Vicinity of Sidney.","yes","yes",NA,"Amaranthaceae","subspecies","118453","complete",NA,NA
