scientificName,link_name,link_taxon_id,taxon_rank,infrataxon_status,provenance_status,provincial_concern,introduction_status,reportingStatus,solow_EP,phylum
Ammophila arenaria ssp. arenaria,Ammophila arenaria; Calamagrostis arenaria,942779,subspecies,non-infrataxon,unknown; voucher,unknown,exotic,confirmed,0.007,Tracheophyta
Amsinckia menziesii var. menziesii,Amsinckia menziesii,55436,species,non-infrataxon,voucher,unknown,native,confirmed,0.013,Tracheophyta
Anaphalis margaritacea,Anaphalis margaritacea,52833,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Anisocarpus madioides,Anisocarpus madioides,53137,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Anthemis cotula,Anthemis cotula,52841,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.026,Tracheophyta
Anthoxanthum odoratum,Anthoxanthum odoratum,75475,species,non-infrataxon,voucher,unknown,exotic,confirmed,0,Tracheophyta
Anthriscus caucalis,Anthriscus caucalis,52846,species,non-infrataxon,voucher,unknown,exotic,confirmed,0,Tracheophyta
Aphyllon californicum ssp. californicum,Aphyllon californicum; Aphyllon californicum californicum,802458; 802465,subspecies,non-infrataxon,no_voucher; voucher,unknown,native,confirmed,0,Tracheophyta
Aphyllon purpureum,Aphyllon uniflorum; Aphyllon purpureum,802714; 739040,,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Apocynum androsaemifolium,Apocynum androsaemifolium,47359,species,non-infrataxon,voucher,secure,native,confirmed,0.006,Tracheophyta
Aquilegia formosa var. formosa,Aquilegia formosa,48244,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Arabidopsis thaliana,Arabidopsis thaliana,55021,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.007,Tracheophyta
Arabis eschscholtziana,Arabis eschscholtziana,75494,species,non-infrataxon,voucher,secure,native,unconfirmed,0.414,Tracheophyta
Arbutus menziesii,Arbutus menziesii,51046,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Arctium minus,Arctium minus,59570,species,non-infrataxon,voucher,unknown,exotic,confirmed,0,Tracheophyta
Arctostaphylos columbiana,Arctostaphylos columbiana,75505,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Arctostaphylos uva-ursi,Arctostaphylos uva-ursi,68049,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Arenaria serpyllifolia var. serpyllifolia,Arenaria serpyllifolia serpyllifolia; Arenaria serpyllifolia,80373; 75553,variety,non-infrataxon,voucher; no_voucher,unknown,exotic,unconfirmed,0.865,Tracheophyta
Armeria maritima,Armeria maritima,60476,species,non-infrataxon,voucher,unknown,native,confirmed,0,Tracheophyta
Arrhenatherum elatius,Arrhenatherum elatius,75583,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.007,Tracheophyta
Artemisia suksdorfii,Artemisia suksdorfii,75597,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Arum italicum,Arum italicum,61168,species,non-infrataxon,voucher,unknown,exotic,new,0,Tracheophyta
Asparagus officinalis,Asparagus officinalis,60265,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.006,Tracheophyta
Aspidotis densa,Aspidotis densa,63868,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Athyrium filix-femina ssp. cyclosorum,Athyrium filix-femina; Athyrium filix-femina cyclosorum,52669; 61002,subspecies,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Athysanus pusillus,Athysanus pusillus,58069,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Aubrieta deltoidea,Aubrieta deltoidea,75721,species,non-infrataxon,voucher,unknown,exotic,new,0,Tracheophyta
Avena fatua,Avena fatua,52698,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.033,Tracheophyta
Balsamorhiza deltoidea,Balsamorhiza deltoidea,70383,species,non-infrataxon,voucher,concern,native,confirmed,0,Tracheophyta
Barbarea orthoceras,Barbarea orthoceras,52976,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Barbarea vulgaris,Barbarea vulgaris,56126,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.022,Tracheophyta
Bellardia viscosa,Bellardia viscosa,537967,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.008,Tracheophyta
Bellis perennis,Bellis perennis,55563,species,non-infrataxon,voucher,unknown,exotic,confirmed,0,Tracheophyta
Berberis aquifolium,Berberis aquifolium,126887,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Berberis nervosa,Berberis nervosa,75756,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Betula papyrifera,Betula papyrifera,49883,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Bidens amplissima,Bidens amplissima,159233,species,non-infrataxon,voucher,concern,native,confirmed,0.007,Tracheophyta
Bidens cernua,Bidens cernua,75765,species,non-infrataxon,voucher,secure,native,confirmed,0.007,Tracheophyta
Bolboschoenus maritimus ssp. paludosus,Bolboschoenus maritimus paludosus; Bolboschoenus maritimus,79646; 58345,subspecies,non-infrataxon,voucher,secure,native,confirmed,0.006,Tracheophyta
Brasenia schreberi,Brasenia schreberi,75867,species,non-infrataxon,voucher,secure,native,confirmed,0.007,Tracheophyta
Brassica nigra,Brassica nigra; Mutarda nigra,1555489,,non-infrataxon,unknown; voucher,unknown,exotic,confirmed,0.243,Tracheophyta
Brassica rapa,Brassica rapa,53271,species,non-infrataxon,voucher,unknown,exotic,confirmed,0,Tracheophyta
Brodiaea coronaria,Brodiaea coronaria,57126,species,non-infrataxon,voucher,secure,native,confirmed,0.064,Tracheophyta
Bromus diandrus ssp. rigidus,Bromus rigidus; Bromus diandrus,204259; 52702,subspecies,non-infrataxon,voucher,unknown,exotic,confirmed,0,Tracheophyta
Bromus hordeaceus ssp. hordeaceus,Bromus hordeaceus,52717; 52703,species,infrataxon,voucher,unknown,exotic,confirmed,0.008,Tracheophyta
Bromus sitchensis complex,Bromus aleutensis; Bromus sitchensis aleutensis; Bromus marginatus; Bromus sitchensis sitchensis; Bromus carinatus carinatus; Bromus sitchensis; Bromus carinatus,159467; 239683; 64297; 75912; 52700,,non-infrataxon,voucher,unknown,native,confirmed,0.008,Tracheophyta
Bromus sterilis,Bromus sterilis,57163,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.007,Tracheophyta
Bromus tectorum,Bromus tectorum,58369,species,non-infrataxon,voucher,unknown,exotic,confirmed,0,Tracheophyta
Bromus vulgaris,Bromus vulgaris,75915,species,non-infrataxon,voucher,secure,native,confirmed,0.015,Tracheophyta
Buddleja davidii,Buddleja davidii,75916,species,non-infrataxon,voucher,unknown,exotic,new,0,Tracheophyta
Cakile edentula var. edentula,Cakile edentula; Cakile edentula edentula,52162; 234668,variety,non-infrataxon,voucher,unknown,exotic,confirmed,0.007,Tracheophyta
Cakile maritima ssp. maritima,Cakile maritima,60982,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.027,Tracheophyta
Calendula officinalis,Calendula officinalis,75931,species,non-infrataxon,voucher,unknown,exotic,new,0.006,Tracheophyta
Callitriche marginata,Callitriche marginata,58093,species,non-infrataxon,voucher,concern,native,confirmed,0.013,Tracheophyta
Calypso bulbosa var. occidentalis,Calypso bulbosa; Calypso bulbosa occidentalis,47215; 57724,variety,non-infrataxon,voucher; no_voucher,secure,native,confirmed,0,Tracheophyta
Calystegia sepium,Calystegia sepium,57481,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.013,Tracheophyta
Calystegia soldanella,Calystegia soldanella,60880,species,non-infrataxon,voucher,concern,native,confirmed,0.007,Tracheophyta
Camassia leichtlinii ssp. suksdorfii,Camassia leichtlinii suksdorfii; Camassia leichtlinii,79659; 62218,subspecies,non-infrataxon,no_voucher; voucher,secure,native,confirmed,0,Tracheophyta
Camassia quamash,Camassia quamash,62220,species,non-infrataxon,voucher,unknown,native,confirmed,0,Tracheophyta
Camassia quamash ssp. quamash,Camassia quamash quamash,118435,subspecies,infrataxon,voucher,secure,native,confirmed,0.038,Tracheophyta
Camissonia contorta,Camissonia contorta,58216,species,non-infrataxon,voucher,concern,native,confirmed,0,Tracheophyta
Campanula medium,Campanula medium,159761,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.006,Tracheophyta
Campanula persicifolia,Campanula persicifolia,159764,species,non-infrataxon,voucher,unknown,exotic,new,0.006,Tracheophyta
Campanula rapunculoides,Campanula rapunculoides,85321,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.007,Tracheophyta
Campanula scouleri,Campanula scouleri,75991,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Capsella bursa-pastoris,Capsella bursa-pastoris,56121,species,non-infrataxon,voucher,unknown,exotic,confirmed,0,Tracheophyta
Cardamine hirsuta,Cardamine hirsuta,55829,species,non-infrataxon,voucher,unknown,exotic,confirmed,0,Tracheophyta
Cardamine nuttallii,Cardamine nuttallii nuttallii; Cardamine nuttallii,239744; 76002,,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Cardamine oligosperma,Cardamine oligosperma,52981,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Cardamine pensylvanica,Cardamine pensylvanica,76005,species,non-infrataxon,voucher,secure,native,confirmed,0.02,Tracheophyta
Carex arcta,Carex arcta,76014,species,non-infrataxon,voucher,secure,native,confirmed,0.006,Tracheophyta
Carex athrostachya,Carex athrostachya,76016,species,non-infrataxon,voucher,secure,native,confirmed,0.255,Tracheophyta
Carex cusickii,Carex cusickii,76028,species,non-infrataxon,voucher,secure,native,unconfirmed,0.33,Tracheophyta
Carex deweyana var. deweyana,Carex deweyana deweyana; Carex deweyana,239769; 143684,variety,non-infrataxon,voucher,secure,native,confirmed,0.027,Tracheophyta
Carex exsiccata,Carex exsiccata,76036,species,non-infrataxon,voucher,secure,native,confirmed,0.006,Tracheophyta
Carex feta,Carex feta,76037,species,non-infrataxon,voucher,secure,native,confirmed,0.019,Tracheophyta
Carex inops,Carex inops,76056,species,non-infrataxon,voucher,unknown,native,confirmed,0.014,Tracheophyta
Carex kelloggii,Carex kelloggii,290553,species,non-infrataxon,voucher,unknown,native,confirmed,0.025,Tracheophyta
Carex kelloggii var. limnophila,Carex kelloggii limnophila,1091402,species,infrataxon,voucher,secure,native,unconfirmed,0.532,Tracheophyta
Carex leporina,Carex leporina,76067,species,non-infrataxon,voucher,secure,native,confirmed,0.012,Tracheophyta
Carex lyngbyei ssp. cryptocarpa,Carex lyngbyei,76076,species,non-infrataxon,voucher,secure,native,confirmed,0.006,Tracheophyta
Carex macrocephala,Carex macrocephala,160006,species,non-infrataxon,voucher,secure,native,confirmed,0.01,Tracheophyta
Carex obnupta,Carex obnupta,61000,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Carex pachystachya,Carex pachystachya,76089,species,non-infrataxon,voucher,secure,native,confirmed,0.013,Tracheophyta
Carex pendula,Carex pendula,49365,species,non-infrataxon,voucher,unknown,exotic,new,0.006,Tracheophyta
Carex tumulicola,Carex tumulicola,64183,species,non-infrataxon,voucher,concern,native,confirmed,0.006,Tracheophyta
Carex unilateralis,Carex unilateralis,76123,species,non-infrataxon,voucher,secure,native,confirmed,0.006,Tracheophyta
Carex utriculata,Carex utriculata,76124,species,non-infrataxon,voucher,secure,native,confirmed,0.006,Tracheophyta
Castilleja attenuata,Castilleja attenuata,49341,species,non-infrataxon,voucher,concern,native,confirmed,0,Tracheophyta
Castilleja hispida var. hispida,Castilleja hispida; Castilleja hispida hispida,128204; 234938,variety,non-infrataxon,voucher,secure,native,confirmed,0.007,Tracheophyta
Castilleja levisecta,Castilleja levisecta,128077,species,non-infrataxon,voucher,concern,native,confirmed,0,Tracheophyta
Castilleja victoriae,Castilleja victoriae,160227,species,non-infrataxon,voucher,concern,native,confirmed,0,Tracheophyta
Centaurea cyanus,Centaurea cyanus,933404,species,non-infrataxon,voucher,unknown,exotic,confirmed,0,Tracheophyta
Centaurea diffusa,Centaurea diffusa,76210,species,non-infrataxon,voucher,unknown,exotic,new,0.012,Tracheophyta
Centaurea montana,Centaurea montana,48984,species,non-infrataxon,voucher,unknown,exotic,confirmed,0,Tracheophyta
Centaurea nigra,Centaurea nigra,126575,species,non-infrataxon,voucher,unknown,exotic,new,0.006,Tracheophyta
Centaurea stoebe ssp. australis,Centaurea stoebe; Centaurea stoebe australis,76214; 521869,subspecies,non-infrataxon,voucher,unknown,exotic,confirmed,0.006,Tracheophyta
Centranthus ruber,Centranthus ruber,57283,species,non-infrataxon,voucher,unknown,exotic,new,0,Tracheophyta
Cephalanthera austiniae,Cephalanthera austiniae,50706,species,non-infrataxon,voucher,concern,native,confirmed,0.007,Tracheophyta
Cerastium arvense ssp. strictum,Cerastium arvense; Cerastium arvense strictum,50851; 50847,subspecies,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Cerastium fontanum ssp. vulgare,Cerastium holosteoides; Cerastium fontanum,1005385; 53307,subspecies,non-infrataxon,voucher,unknown,exotic,confirmed,0,Tracheophyta
Cerastium glomeratum,Cerastium glomeratum,52973,species,non-infrataxon,voucher,unknown,exotic,confirmed,0,Tracheophyta
Cerastium pumilum ssp. glutinosum,Cerastium pumilum,160341,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.019,Tracheophyta
Cerastium semidecandrum,Cerastium semidecandrum,160343,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.02,Tracheophyta
Cerastium tomentosum,Cerastium tomentosum,160347,species,non-infrataxon,voucher,unknown,exotic,confirmed,0,Tracheophyta
Ceratophyllum demersum,Ceratophyllum demersum,60997,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Chamaenerion angustifolium,Chamaenerion angustifolium,564969,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Chenopodium album,Chenopodium album album; Chenopodium album,181727; 58127,,non-infrataxon,voucher,unknown,exotic,confirmed,0.006,Tracheophyta
Chimaphila umbellata ssp. umbellata,Chimaphila umbellata umbellata; Chimaphila umbellata,62236,subspecies,non-infrataxon,unknown; voucher,secure,native,confirmed,0.013,Tracheophyta
Cicuta douglasii,Cicuta douglasii,76338,species,non-infrataxon,voucher,secure,native,confirmed,0.006,Tracheophyta
Circaea alpina ssp. pacifica,Circaea alpina; Circaea alpina pacifica,76342,subspecies,non-infrataxon,voucher; unknown,secure,native,confirmed,0,Tracheophyta
Cirsium arvense,Cirsium arvense arvense; Cirsium arvense,324501; 60132,,non-infrataxon,voucher,unknown,exotic,confirmed,0,Tracheophyta
Cirsium vulgare,Cirsium vulgare,52989,species,non-infrataxon,voucher,unknown,exotic,confirmed,0,Tracheophyta
Clarkia amoena,Clarkia amoena,61048,species,non-infrataxon,voucher,unknown,native,confirmed,0,Tracheophyta
Claytonia exigua,Claytonia exigua,57233,species,non-infrataxon,voucher,unknown,native,confirmed,0,Tracheophyta
Claytonia exigua ssp. exigua,Claytonia exigua exigua,57234,species,infrataxon,voucher,secure,native,confirmed,0.006,Tracheophyta
Claytonia exigua ssp. glauca,Claytonia exigua glauca,57229,subspecies,infrataxon,voucher,secure,native,confirmed,0.007,Tracheophyta
Claytonia parviflora ssp. parviflora,Claytonia parviflora,58294,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Claytonia perfoliata ssp. perfoliata,Claytonia perfoliata; Claytonia perfoliata perfoliata,52994; 53002,subspecies,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Claytonia rubra,Claytonia rubra depressa; Claytonia rubra,79751; 64184,,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Claytonia sibirica,Claytonia sibirica,55767,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Clinopodium douglasii,Clinopodium douglasii,53203,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Collinsia grandiflora,Collinsia grandiflora,76409,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Collinsia parviflora,Collinsia parviflora,59013,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Collomia grandiflora,Collomia grandiflora,61871,species,non-infrataxon,voucher,secure,native,confirmed,0.006,Tracheophyta
Collomia heterophylla,Collomia heterophylla,52996,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Comandra umbellata ssp. californica,Comandra umbellata; Comandra umbellata californica,59991; 79754,subspecies,non-infrataxon,voucher,concern,native,confirmed,0,Tracheophyta
Comarum palustre,Comarum palustre,62213,species,non-infrataxon,voucher,secure,native,confirmed,0.007,Tracheophyta
Conioselinum pacificum,Conioselinum gmelinii,160830,species,non-infrataxon,voucher,secure,native,confirmed,0.013,Tracheophyta
Conium maculatum,Conium maculatum,52998,species,non-infrataxon,voucher,unknown,exotic,confirmed,0,Tracheophyta
Convolvulus arvensis,Convolvulus arvensis,53021,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.013,Tracheophyta
Corallorhiza maculata,Corallorhiza maculata,49475,species,non-infrataxon,voucher,unknown,native,confirmed,0,Tracheophyta
Corallorhiza mertensiana,Corallorhiza mertensiana,49444,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Corallorhiza striata var. striata,Corallorhiza striata striata; Corallorhiza striata,131215; 50708,variety,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Cornus nuttallii,Cornus nuttallii,76447,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Cornus stolonifera,Cornus sericea,53387,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Corylus cornuta ssp. californica,Corylus cornuta; Corylus cornuta californica,53374; 53368,subspecies,non-infrataxon,voucher; no_voucher,secure,native,confirmed,0.007,Tracheophyta
Cotoneaster divaricatus,Cotoneaster divaricatus,160947,species,non-infrataxon,voucher,unknown,exotic,new,0.013,Tracheophyta
Cotoneaster franchetii,Cotoneaster franchetii,1319212,species,non-infrataxon,voucher,unknown,exotic,new,0.008,Tracheophyta
Cotula coronopifolia,Cotula coronopifolia,58812,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.017,Tracheophyta
Crassula connata,Crassula connata,57016,species,non-infrataxon,voucher,concern,native,confirmed,0,Tracheophyta
Crassula tillaea,Crassula tillaea,58883,species,non-infrataxon,voucher,unknown,exotic,confirmed,0,Tracheophyta
Crataegus douglasii,Crataegus douglasii,76469,species,non-infrataxon,voucher,secure,native,confirmed,0.01,Tracheophyta
Crataegus gaylussacia,Crataegus suksdorfii; Crataegus gaylussacia,1551517; 76470,,non-infrataxon,voucher,unknown,native,confirmed,0.007,Tracheophyta
Crataegus monogyna var. monogyna,Crataegus monogyna,51147,species,non-infrataxon,voucher,unknown,exotic,confirmed,0,Tracheophyta
Crepis capillaris,Crepis capillaris,54050,species,non-infrataxon,voucher,unknown,exotic,confirmed,0,Tracheophyta
Crocidium multicaule,Crocidium multicaule,57524,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Cryptogramma acrostichoides,Cryptogramma acrostichoides,76536,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Cyclamen hederifolium,Cyclamen hederifolium,127355,species,non-infrataxon,voucher,unknown,exotic,confirmed,0,Tracheophyta
Cynosurus cristatus,Cynosurus cristatus,76581,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.007,Tracheophyta
Cynosurus echinatus,Cynosurus echinatus,47695,species,non-infrataxon,voucher,unknown,exotic,confirmed,0,Tracheophyta
Cystopteris fragilis,Cystopteris fragilis,58755,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Cytisus scoparius,Cytisus scoparius,48538,species,non-infrataxon,voucher,unknown,exotic,confirmed,0,Tracheophyta
Dactylis glomerata,Dactylis glomerata,52720,species,non-infrataxon,voucher,unknown,exotic,confirmed,0,Tracheophyta
Danthonia californica,Danthonia californica,57165,species,non-infrataxon,voucher,secure,native,confirmed,0.008,Tracheophyta
Daphne laureola,Daphne laureola,127391,species,non-infrataxon,voucher,unknown,exotic,confirmed,0,Tracheophyta
Daucus carota,Daucus carota,76610,species,non-infrataxon,voucher,unknown,exotic,confirmed,0,Tracheophyta
Daucus pusillus,Daucus pusillus,56726,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Delphinium ajacis,Consolida ajacis; Delphinium ajacis,401314,,non-infrataxon,unknown; voucher,unknown,exotic,new,0.012,Tracheophyta
Delphinium menziesii var. menziesii,Delphinium menziesii; Delphinium menziesii menziesii,153479; 153478,variety,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Deschampsia danthonioides,Deschampsia danthonioides,57164,species,non-infrataxon,voucher,secure,native,confirmed,0.1,Tracheophyta
Deschampsia elongata,Deschampsia elongata,52722,species,non-infrataxon,voucher,secure,native,unknown,0.33,Tracheophyta
Dianthus armeria ssp. armeria,Dianthus armeria,64541,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.013,Tracheophyta
Dicentra formosa ssp. Formosa,Dicentra formosa,51048,species,non-infrataxon,voucher,unknown,native,confirmed,0,Tracheophyta
Digitalis purpurea,Digitalis purpurea,53983,species,non-infrataxon,voucher,unknown,exotic,new,0,Tracheophyta
Dipsacus fullonum,Dipsacus fullonum,56002,species,non-infrataxon,voucher,unknown,exotic,new,0,Tracheophyta
Distichlis spicata,Distichlis spicata; Distichlis spicata spicata,58372; 315501,,non-infrataxon,voucher,secure,native,confirmed,0.007,Tracheophyta
Dodecatheon hendersonii,Primula hendersonii,487175,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Draba verna,Draba verna,55823,species,non-infrataxon,voucher,unknown,exotic,confirmed,0,Tracheophyta
Drymocallis glandulosa var. glandulosa,Drymocallis glandulosa,76716,species,non-infrataxon,voucher,secure,native,confirmed,0.006,Tracheophyta
Dryopteris expansa,Dryopteris expansa,64055,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Dulichium arundinaceum var. arundinaceum,Dulichium arundinaceum,76745,species,non-infrataxon,voucher,secure,native,confirmed,0.013,Tracheophyta
Echinochloa crus-galli,Echinochloa crus-galli,60283,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.006,Tracheophyta
Echium vulgare,Echium vulgare,56174,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.007,Tracheophyta
Eleocharis palustris,Eleocharis palustris,76782,species,non-infrataxon,voucher,secure,native,confirmed,0.014,Tracheophyta
Elodea canadensis,Elodea canadensis,76793,species,non-infrataxon,voucher,secure,native,confirmed,0.006,Tracheophyta
Elymus glaucus,Elymus glaucus,52791,species,non-infrataxon,voucher,unknown,native,confirmed,0.016,Tracheophyta
Elymus glaucus ssp. glaucus,Elymus glaucus glaucus,57171,subspecies,infrataxon,voucher,secure,native,confirmed,0.964,Tracheophyta
Elymus glaucus ssp. virescens,Elymus glaucus virescens,61203,subspecies,infrataxon,voucher,secure,native,unconfirmed,0.889,Tracheophyta
Elymus repens,Elymus repens,60284,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.007,Tracheophyta
Epilobium brachycarpum,Epilobium brachycarpum,52971,species,non-infrataxon,voucher,secure,native,confirmed,0.006,Tracheophyta
Epilobium densiflorum,Epilobium densiflorum,57149,species,non-infrataxon,voucher,concern,native,confirmed,0.007,Tracheophyta
Epilobium hallianum,Epilobium hallianum,76831,species,non-infrataxon,voucher,secure,native,confirmed,0.006,Tracheophyta
Epilobium hirsutum,Epilobium hirsutum,84517,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.013,Tracheophyta
Epilobium minutum,Epilobium minutum; Epilobium ravenii,57150; 1490819,,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Epipactis helleborine,Epipactis helleborine,50717,species,non-infrataxon,voucher,unknown,exotic,confirmed,0,Tracheophyta
Equisetum arvense,Equisetum arvense,52724,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Equisetum hyemale ssp. affine,Equisetum hyemale affine; Equisetum hyemale,53910; 52673,subspecies,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Equisetum telmateia ssp. braunii,Equisetum telmateia braunii; Equisetum telmateia,57032; 57030,subspecies,non-infrataxon,voucher,unknown,native,confirmed,0,Tracheophyta
Eriophyllum lanatum var. leucophyllum,Eriophyllum lanatum leucophyllum; Eriophyllum lanatum,77049,variety,non-infrataxon,unknown; voucher,secure,native,confirmed,0,Tracheophyta
Erodium cicutarium ssp. cicutarium,Erodium cicutarium,47687,species,non-infrataxon,voucher,unknown,exotic,confirmed,0,Tracheophyta
Erysimum cheiranthoides,Erysimum cheiranthoides,77068,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.056,Tracheophyta
Erysimum cheiri,Erysimum cheiri; Erysimum × cheiri,55892,,non-infrataxon,unknown; voucher,unknown,exotic,confirmed,0,Tracheophyta
Erythranthe alsinoides,Erythranthe alsinoides,771843,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Erythranthe guttata,Erythranthe guttata,470643,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Erythranthe microphylla,Erythranthe microphylla,453717,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Erythranthe sookensis,Erythranthe sookensis; Erythranthe nasuta,545973,,non-infrataxon,unknown; voucher,secure,native,confirmed,0,Tracheophyta
Erythronium oregonum ssp. oregonum,Erythronium oregonum,59520,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Eschscholzia californica,Eschscholzia californica californica; Eschscholzia californica,48225,,non-infrataxon,unknown; voucher,unknown,exotic,confirmed,0,Tracheophyta
Euphorbia maculata,Euphorbia maculata,58893,species,non-infrataxon,voucher,unknown,exotic,new,0.006,Tracheophyta
Euphorbia oblongata,Euphorbia oblongata,77117,species,non-infrataxon,voucher,unknown,exotic,new,0.019,Tracheophyta
Euphorbia peplus,Euphorbia peplus,57036,species,non-infrataxon,voucher,unknown,exotic,new,0,Tracheophyta
Festuca occidentalis,Festuca occidentalis,59091,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Festuca rubra,Festuca rubra,61061,species,non-infrataxon,voucher,unknown,native,confirmed,0.007,Tracheophyta
Festuca subuliflora,Festuca subuliflora,77146,species,non-infrataxon,voucher,secure,native,confirmed,0.014,Tracheophyta
Ficaria verna,Ficaria verna,204321,species,non-infrataxon,voucher,unknown,exotic,new,0,Tracheophyta
Foeniculum vulgare,Foeniculum vulgare,53052,species,non-infrataxon,voucher,unknown,exotic,confirmed,0,Tracheophyta
Fragaria chiloensis,Fragaria chiloensis,55367,species,non-infrataxon,voucher,unknown,native,confirmed,0,Tracheophyta
Fragaria vesca ssp. californica,Fragaria vesca californica; Fragaria vesca,50298,subspecies,non-infrataxon,unknown; voucher,unknown,native,confirmed,0,Tracheophyta
Fragaria virginiana,Fragaria virginiana,77155,species,non-infrataxon,voucher,unknown,native,confirmed,0.008,Tracheophyta
Frangula purshiana ssp. purshiana,Frangula purshiana,77156,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Fraxinus excelsior,Fraxinus excelsior,125440,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.006,Tracheophyta
Fraxinus latifolia,Fraxinus latifolia,63878,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.007,Tracheophyta
Fraxinus ornus,Fraxinus ornus,319281,species,non-infrataxon,voucher,unknown,exotic,new,0.018,Tracheophyta
Fritillaria affinis,Fritillaria affinis,50618,species,non-infrataxon,voucher,secure,native,confirmed,0,Tracheophyta
Fumaria officinalis,Fumaria officinalis,53785,species,non-infrataxon,voucher,unknown,exotic,confirmed,0.019,Tracheophyta
Galanthus elwesii,Galanthus elwesii,57514,species,non-infrataxon,voucher,unknown,exotic,new,0,Tracheophyta
