,scientificName,scientificNameAuthorship,commonName,kingdom,phylum,sub_phylum,super_class,class,sub_class,super_order,order,sub_order,super_family,family,sub_family,introduction_status,provincial_status,reporting_status,documented_in_iNaturalist,last_record_date,last_record_observer,last_record_source,last_record_ID,LGL_limited,first_record_date,first_record_observer,first_record_ID,iNaturalist_photo,curation_notes,iNatTaxonID,taxon_group,iNatTaxon,region_name,subtaxon_author,subclass,superorder,suborder,superfamily,subfamily,tribe,genus,species,hybrid,subspecies,variety,origin,national_status,iNat_observation_status,first_record_source,first_observation_date,first_observation_observer,first_observation_ID,stats_code,region,subtaxon_authorship,specificEpithet,sub_species,first_record_GBIF_ID,first_record_iNat_date,first_observation_by,n_total,cutation_notes,iNaturalistTaxonId,iNaturalistTaxonName,infraorder,nameStatus
494,Dichelotarsus puberulus,LeConte,none,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota,NA,Coleoptera,Polyphaga,Elateroidea,Cantharidae,Cantharinae,NA,genus is in CDC records,new 2019,documented,NA,NA,NA,NA,NA,2019-04-19,judithofsquamish,https://www.inaturalist.org/observations/22737165,https://static.inaturalist.org/photos/35236345/medium.jpeg?1555725902,NA,455321,animalia,NA,AHSBR,NA,Pterygota,,Polyphaga,Elateroidea,Cantharinae,Podabrini,Dichelotarsus,puberulus,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,455321,Dichelotarsus puberulus,Elateriformia,accepted
495,Dichelotarsus sp.,Motschulsky,none,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota,NA,Coleoptera,Polyphaga,Elateroidea,Cantharidae,Cantharinae,NA,genus is in CDC records,new 2019,documented,NA,NA,NA,NA,NA,2019-05-27,benkeen,https://www.inaturalist.org/observations/25929002,https://static.inaturalist.org/photos/40217624/medium.jpeg?1559023998,included in case it helps this get to species level,244381,animalia,NA,AHSBR,NA,Pterygota,,Polyphaga,Elateroidea,Cantharinae,Podabrini,Dichelotarsus,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244381,Dichelotarsus,Elateriformia,accepted
496,Dictyoptera simplicipes,Mannerheim,red net-winged beetle,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota, ,Coleoptera,Polyphaga,Elateroidea,Lycidae,Erotinae, ,SU (2017)  ,confirmed,documented,1961-05-21,M. Rowley,UBC,SEM-UBC COL-31032,"LGL Limited, Environmental Research Associates, Sidney, BC",2017-07-02,judithofsquamish,https://www.inaturalist.org/observations/9214931,https://static.inaturalist.org/photos/12464937/medium.jpg?1513744781,NA,67755,animalia,NA,AHSBR,NA,Pterygota,,Polyphaga,Elateroidea,Erotinae,,Dictyoptera,simplicipes,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67755,Dictyoptera simplicipes,Elateriformia,accepted
497,Dilophus sp.,Meigen,a genus of March flies,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota,NA,Diptera,Nematocera,NA,Bibionidae,NA,NA,genus not in CDC records,new 2019,documented,NA,NA,NA,NA,NA,2019-05-28,elsemikkelsen,https://www.inaturalist.org/observations/33632555,https://static.inaturalist.org/photos/52838854/medium.jpg?1569809508,NA,247434,animalia,NA,AHSBR,NA,Pterygota,,Nematocera,,Bibioninae,,Dilophus,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,247434,Dilophus,Bibionomorpha,accepted
498,Dineutus assimilis,Kirby,a whirligig beetle,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota,NA,Coleoptera,Adephaga,NA,Gyrinidae,Gyrininae,NA,SU,reported,undocumented,NA,NA,NA,NA,"LGL Limited, Environmental Research Associates, Sidney, BC",NA,NA,NA,NA,NA,218467,animalia,NA,AHSBR,NA,Pterygota,,Adephaga,,Gyrininae,Dineutini,Dineutus,assimilis,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218467,Dineutus assimilis,,accepted
499,Dioryctria sp.,Zeller,conifer coneworm moths,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota,NA,Lepidoptera,NA,Pyraloidea,Pyralidae,Phycitinae,NA,genus is in CDC records,reported,undocumented,1935-08-20,unrecorded online,RBCM,ENT991-143643,NA,NA,NA,NA,NA,historical record West Vancouver,49681,animalia,NA,AHSBR,NA,Pterygota,,,Pyraloidea,Phycitinae,Phycitini,Dioryctria,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49681,Dioryctria,,accepted
500,Dioryctria reniculelloides,Mutuura & Munroe,spruce coneworm moth,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota,NA,Lepidoptera,NA,Pyraloidea,Pyralidae,Phycitinae, ,SNR (2017),new 2019,documented,NA,NA,NA,NA,NA,2019-07-30,benkeen,https://www.inaturalist.org/observations/29900503,https://static.inaturalist.org/photos/46690936/medium.jpeg?1564552204,NA,218487,animalia,NA,AHSBR,NA,Pterygota,,,Pyraloidea,Phycitinae,Phycitini,Dioryctria,reniculelloides,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218487,Dioryctria reniculelloides,,accepted
501,Dioryctria abietivorella,Denis & Schiffermüller,evergreen coneworm moth,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota,NA,Lepidoptera,NA,Pyraloidea,Pyralidae,Phycitinae,NA,SNR (2017),new 2019,documented,NA,NA,NA,NA,NA,2019-08-19,benkeen,https://www.inaturalist.org/observations/31123138,https://static.inaturalist.org/photos/48680178/medium.jpeg?1566229623,NA,218479,animalia,NA,AHSBR,NA,Pterygota,,,Pyraloidea,Phycitinae,Phycitini,Dioryctria,abietivorella,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218479,Dioryctria abietivorella,,accepted
502,Dioryctria banksiella,"Mutuura, Munroe & Ross",a species of snout moth,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota,NA,Lepidoptera,NA,Pyraloidea,Pyralidae,Phycitinae,NA,SNR (2017),new 2019,documented,NA,NA,NA,NA,NA,2019-07-25,benkeen,https://www.inaturalist.org/observations/29514362,https://static.inaturalist.org/photos/46067440/medium.jpeg?1564069556,NA,218481,animalia,NA,AHSBR,NA,Pterygota,,,Pyraloidea,Phycitinae,Phycitini,Dioryctria,banksiella,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218481,Dioryctria banksiella,,accepted
503,Dioryctria reniculelloides,Mutuura & Munroe,spruce coneworm moth,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota,NA,Lepidoptera,NA,Pyraloidea,Pyralidae,Phycitinae,NA,SNR (2017),new 2019,documented,NA,NA,NA,NA,NA,2019-07-30,benkeen,https://www.inaturalist.org/observations/29900503,https://static.inaturalist.org/photos/46690936/medium.jpeg?1564552204,NA,218487,animalia,NA,AHSBR,NA,Pterygota,,,Pyraloidea,Phycitinae,Phycitini,Dioryctria,reniculelloides,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218487,Dioryctria reniculelloides,,accepted
504,Dipalta serpentina,Osten Sacken,hairy spider weevil,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota, ,Diptera,Brachycera,Asiloidea,Bombyliidae,Anthracinae,native,S3 (2016),reported,undocumented,1934-08-26,G.H. Larnder,UBC,SEM-UBC BOM-0507,NA,NA,NA,NA,NA,historical record West Vancouver,259622,animalia,NA,AHSBR,NA,Pterygota,,Brachycera,Asiloidea,Anthracinae,Villini,Dipalta,serpentina,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259622,Dipalta serpentina,Orthorrhapha,accepted
505,Diplolepis polita,Ashmead,spiny leaf gall wasp,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota,NA,Hymenoptera,Apocrita,Cynipoidea,Diplolepididae,Cynipinae,NA,not in CDC records,new 2020,documented,NA,NA,NA,NA,NA,2020-08-28,microbin,https://www.inaturalist.org/observations/57894329,https://static.inaturalist.org/photos/92386652/medium.jpg?1598676339,NA,70990,animalia,NA,AHSBR,NA,Pterygota,,Apocrita,Cynipoidea,Diplolepidinae,,Diplolepis,polita,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70990,Diplolepis polita,Proctotrupomorpha,accepted
506,Diplotaxis brevicollis,LeConte,none,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota,NA,Coleoptera,Polyphaga,Scarabaeoidea,Scarabaeidae,Melolonthinae, ,SNR,new 2019,documented,NA,NA,NA,NA,NA,2019-05-04,benkeen,https://www.inaturalist.org/observations/24533415,https://static.inaturalist.org/photos/37935445/medium.jpg?1556999552,NA,313092,animalia,NA,AHSBR,NA,Pterygota,,Polyphaga,Scarabaeoidea,Melolonthinae,Diplotaxini,Diplotaxis,brevicollis,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,313092,Diplotaxis brevicollis,Scarabaeiformia,accepted
507,Dissosteira carolina,L.,Carolina grasshopper,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota,NA,Orthoptera,Caelifera,Acridoidea,Acrididae,Oedipodinae,native,S5 (2012),confirmed,documented,NA,NA,NA,NA,"LGL Limited, Environmental Research Associates, Sidney, BC",2019-07-18,benkeen,https://www.inaturalist.org/observations/29096309,https://static.inaturalist.org/photos/45395630/medium.jpeg?1563518253,NA,126206,animalia,NA,AHSBR,NA,Pterygota,,Caelifera,Acridoidea,Oedipodinae,Trimerotropini,Dissosteira,carolina,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126206,Dissosteira carolina,Acrididea,accepted
508,Ditula angustiorana,Haworth,red-barred tortrix,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota,NA,Lepidoptera,NA,Tortricoidea,Tortricidae,Tortricinae,exotic,SNA (2017),new 2019,documented,NA,NA,NA,NA,NA,2019-07-23,benkeen,https://www.inaturalist.org/observations/29423920,https://static.inaturalist.org/photos/45921022/medium.jpeg?1563938038,NA,324796,animalia,NA,AHSBR,NA,Pterygota,,,Tortricoidea,Tortricinae,Archipini,Ditula,angustiorana,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,324796,Ditula angustiorana,,accepted
509,Ditylus quadricollis,LeConte,a false blister beetle,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota,NA,Coleoptera,Polyphaga,Tenebrionoidea,Oedemeridae,Nacerdinae, ,SU (2017)  ,confirmed,documented,NA,NA,NA,NA,"LGL Limited, Environmental Research Associates, Sidney, BC",2015-06-05,judithofsquamish,https://www.inaturalist.org/observations/6016842,https://static.inaturalist.org/photos/7528506/medium.jpeg?1493515651,NA,361540,animalia,NA,AHSBR,NA,Pterygota,,Polyphaga,Tenebrionoidea,Nacerdinae,Ditylini,Ditylus,quadricollis,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,361540,Ditylus quadricollis,Cucujiformia,accepted
510,Doddsia occidentalis,(Banks),western willowfly,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota, ,Plecoptera,Arctoperlaria,Nemouroidea,Taeniopterygidae,Brachypterainae,native,S4S5 (2017),reported,undocumented,1981-08-01,R.J. Cannings,UBC,SEM-UBC PLE-0806,"LGL Limited, Environmental Research Associates, Sidney, BC",NA,NA,NA,NA,NA,218615,animalia,NA,AHSBR,NA,Pterygota,,Arctoperlaria,Nemouroidea,Brachypterainae,,Doddsia,occidentalis,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218615,Doddsia occidentalis,Euholognatha,accepted
511,Dolichovespula albida,Staden,arctic yellowjacket,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota,NA,Hymenoptera,Apocrita,Vespoidea,Vespidae,Vespinae,native,S3S4 (2017),reported,undocumented,NA,NA,NA,NA,"LGL Limited, Environmental Research Associates, Sidney, BC",NA,NA,NA,NA,NA,332310,animalia,NA,AHSBR,NA,Pterygota,,Apocrita,Vespoidea,Vespinae,,Dolichovespula,albida,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,332310,Dolichovespula albida,Aculeata,accepted
512,Dolichovespula arenaria,Fabricius,common aerial yellowjacket,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota,NA,Hymenoptera,Apocrita,Vespoidea,Vespidae,Vespinae,native,S5? (2017),new 2020,documented,NA,NA,NA,NA,NA,2020-09-04,gwenlh,https://www.inaturalist.org/observations/58678536,https://static.inaturalist.org/photos/93698753/medium.jpeg?1599360858,NA,118913,animalia,NA,AHSBR,NA,Pterygota,,Apocrita,Vespoidea,Vespinae,,Dolichovespula,arenaria,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118913,Dolichovespula arenaria,Aculeata,accepted
513,Dolichovespula maculata,L.,bald-faced hornet,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota,NA,Hymenoptera,Apocrita,Vespoidea,Vespidae,Vespinae,native,S5? (2017) ,confirmed,documented,NA,NA,NA,NA,"LGL Limited, Environmental Research Associates, Sidney, BC",2018-08-30,benkeen,https://www.inaturalist.org/observations/16058790,https://static.inaturalist.org/photos/24044387/medium.jpg?1535682611,NA,52911,animalia,NA,AHSBR,NA,Pterygota,,Apocrita,Vespoidea,Vespinae,,Dolichovespula,maculata,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52911,Dolichovespula maculata,Aculeata,accepted
514,Draeculacephala robinsoni,Hamilton,none,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota,NA,Hemiptera,Auchenorrhyncha,Membracoidea,Cicadellidae,Cicadellinae,NA,genus not in CDC records,confirmed,documented,1961-08-27,G.J. Spencer,UBC,SEM-UBC CICA-0140,NA,2019-08-27,benkeen,https://www.inaturalist.org/observations/31649589,https://static.inaturalist.org/photos/49556309/medium.jpeg?1566959569,NA,218700,animalia,NA,AHSBR,NA,Pterygota,,Auchenorrhyncha,Membracoidea,Cicadellinae,Cicadellini,Draeculacephala,robinsoni,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218700,Draeculacephala robinsoni,Cicadomorpha,accepted
515,Drepana arcuata,Walker,arched hooktip moth,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota,NA,Lepidoptera,NA,Drepanoidea,Drepanidae,Drepaninae,native,S4S5 (2017),confirmed,documented,NA,NA,NA,NA,"LGL Limited, Environmental Research Associates, Sidney, BC",2019-05-24,benkeen,https://www.inaturalist.org/observations/25689593,https://static.inaturalist.org/photos/39817205/medium.jpeg?1558725996,NA,84428,animalia,NA,AHSBR,NA,Pterygota,,,Drepanoidea,Drepaninae,Drepanini,Drepana,arcuata,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84428,Drepana arcuata,,accepted
516,Drepana bilineata,Packard,two-lined hooktip,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota,NA,Lepidoptera,NA,Drepanoidea,Drepanidae,Drepaninae,native,S4S5 (2017),new 2019,documented,NA,NA,NA,NA,NA,2019-07-22,benkeen,https://www.inaturalist.org/observations/29320382,https://static.inaturalist.org/photos/45753983/medium.jpeg?1563809664,NA,205204,animalia,NA,AHSBR,NA,Pterygota,,,Drepanoidea,Drepaninae,Drepanini,Falcaria,bilineata,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1523321,Falcaria bilineata,,unaccepted
517,Drepanulatrix monicaria,Guenée,none,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota,NA,Lepidoptera,NA,Geometroidea,Geometridae,Ennominae, ,SU (2017) ,new 2019,documented,NA,NA,NA,NA,NA,2019-07-25,benkeen,https://www.inaturalist.org/observations/29533790,https://static.inaturalist.org/photos/46097224/medium.jpeg?1564089195,NA,218736,animalia,NA,AHSBR,NA,Pterygota,,,Geometroidea,Ennominae,Caberini,Drepanulatrix,monicaria,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218736,Drepanulatrix monicaria,,accepted
518,Drosophila suzukii,Matsumura,spotted-winged Drosophila,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota,NA,Diptera,Brachycera,Ephydroidea,Drosophilidae,Drosophilinae,NA,genus not in CDC records,new 2019,documented,NA,NA,NA,NA,NA,2019-12-26,benkeen,https://www.inaturalist.org/observations/36983450,https://static.inaturalist.org/photos/58551970/medium.jpeg?1577406324,NA,311582,animalia,NA,AHSBR,NA,Pterygota,,Brachycera,Ephydroidea,Drosophilinae,,Drosophila,suzukii,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,311582,Drosophila suzukii,Cyclorrhapha,accepted
519,Dryocoetes sp.,Eichhoff,none,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota, ,Coleoptera,Polyphaga,Curculionoidea,Curculionidae,Scolytinae,NA,genus is in CDC records,reported,undocumented,2015-06-01,E. Chafe/ C.G. Ratzlaff,UBC,SEM-UBC COL-30512,NA,NA,NA,NA,NA,historical record W. Bowen I.,173720,animalia,NA,AHSBR,NA,Pterygota,,Polyphaga,Curculionoidea,Scolytinae,Dryocoetini,Dryocoetes,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173720,Dryocoetes,Cucujiformia,accepted
520,Dysmicohermes disjunctus,(Walker),a fishfly,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota,NA,Megaloptera, , ,Corydalidae,Chauliodinae,NA,SNR,confirmed,documented,1995-07-15,G.B. Straley,UBC,SEM-UBC MEG-0027,"LGL Limited, Environmental Research Associates, Sidney, BC",2016-07-23,gwenlh,https://www.inaturalist.org/observations/9223989,https://static.inaturalist.org/photos/12481754/medium.jpg?1513848238,historical record West Vancouver,219716,animalia,NA,AHSBR,NA,Pterygota,,,,Chauliodinae,,Dysmicohermes,disjunctus,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,468788,Dysmicohermes disjunctus,,accepted
521,Dysstroma citrata,L.,dark marbled carpet,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota,NA,Lepidoptera,NA,Geometroidea,Geometridae,Larentiinae,native,S4S5 (2017),confirmed,documented,1935-09-30,unrecorded online,RBCM,ENT991-131963,NA,2019-07-02,benkeen,https://www.inaturalist.org/observations/28121135,https://static.inaturalist.org/photos/43814844/medium.jpeg?1562169532,NA,211009,animalia,NA,AHSBR,NA,Pterygota,,,Geometroidea,Larentiinae,Cidariini,Dysstroma,citrata,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211009,Dysstroma citrata,,accepted
522,Dysstroma sobria,Swett,10-spotted Rhododendron moth,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota,NA,Lepidoptera,NA,Geometroidea,Geometridae,Larentiinae,native,S3S5 (2017),new 2013,documented,NA,NA,NA,NA,NA,2013-08-15,elsemikkelsen,https://www.inaturalist.org/observations/9179330,https://static.inaturalist.org/photos/12421473/medium.png?1513531624,NA,218842,animalia,NA,AHSBR,NA,Pterygota,,,Geometroidea,Larentiinae,Cidariini,Dysstroma,sobria,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218842,Dysstroma sobria,,accepted
523,Dytiscus sp.,L.,a genus of predaceous diving beetles,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota,NA,Coleoptera,Adephaga,Dytiscoidea,Dytiscidae,Dytiscinae,NA,genus is in CDC records,new 2018,documented,NA,NA,NA,NA,NA,2018-04-11,thuja,https://www.inaturalist.org/observations/10792258,https://static.inaturalist.org/photos/15103178/medium.jpeg?1523497889,NA,88070,animalia,NA,AHSBR,NA,Pterygota,,Adephaga,Dytiscoidea,Dytiscinae,Dytiscini,Dytiscus,,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88070,Dytiscus,,accepted
524,Ecliptopera silaceata,Denis & Schiffermüller,small phoenix,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota,NA,Lepidoptera,NA,Geometroidea,Geometridae,Larentiinae,native,S4S5 (2017),new 2019,documented,NA,NA,NA,NA,NA,2019-07-26,benkeen,https://www.inaturalist.org/observations/29578984,https://static.inaturalist.org/photos/46170681/medium.jpeg?1564156730,NA,205202,animalia,NA,AHSBR,NA,Pterygota,,,Geometroidea,Larentiinae,Cidariini,Ecliptopera,silaceata,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205202,Ecliptopera silaceata,,accepted
525,Ectropis crepuscularia,Denis & Schiffermüller,small engrailed moth,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota,NA,Lepidoptera,NA,Geometroidea,Geometridae,Ennominae,native,S4S5 (2017),confirmed,documented,1937-03-30,unrecorded online,RBCM,ENT991-127514,"LGL Limited, Environmental Research Associates, Sidney, BC",2018-03-30,elsemikkelsen,https://www.inaturalist.org/observations/20517128,https://static.inaturalist.org/photos/31668869/medium.jpg?1550697745,NA,143009,animalia,NA,AHSBR,NA,Pterygota,,,Geometroidea,Ennominae,Boarmiini,Ectropis,crepuscularia,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143009,Ectropis crepuscularia,,accepted
526,Edwardsiana commissuralis,Stål,none,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota,NA,Hemiptera,Auchenorrhyncha,Membracoidea,Cicadellidae,Typhlocybinae,NA,SNR,confirmed,documented,NA,NA,NA,NA,"LGL Limited, Environmental Research Associates, Sidney, BC",2018-06-07,fmgee,https://www.inaturalist.org/observations/13712384,https://static.inaturalist.org/photos/20200890/medium.jpeg?1529784699,NA,484753,animalia,NA,AHSBR,NA,Pterygota,,Auchenorrhyncha,Membracoidea,Typhlocybinae,Typhlocybini,Edwardsiana,commissuralis,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,484753,Edwardsiana commissuralis,Cicadomorpha,accepted
527,Egira crucialis,Harvey,a noctuid moth,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota,NA,Lepidoptera,NA,Noctuoidea,Noctuidae,Noctuinae,native,S4S5 (2017),confirmed,documented,NA,NA,NA,NA,"LGL Limited, Environmental Research Associates, Sidney, BC",2015-05-01,elsemikkelsen,https://www.inaturalist.org/observations/19615760,https://static.inaturalist.org/photos/30201733/medium.jpg?1547395925,NA,345709,animalia,NA,AHSBR,NA,Pterygota,,,Noctuoidea,Noctuinae,Orthosiini,Egira,crucialis,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,345709,Egira crucialis,,accepted
528,Egira hiemalis,Grote,none,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota,NA,Lepidoptera,NA,Noctuoidea,Noctuidae,Noctuinae,native,S3S5 (2017),new 2020,documented,NA,NA,NA,NA,NA,2020-02-25,benkeen,https://www.inaturalist.org/observations/39207860,https://static.inaturalist.org/photos/62172523/medium.jpeg?1582645005,NA,317547,animalia,NA,AHSBR,NA,Pterygota,,,Noctuoidea,Noctuinae,Orthosiini,Egira,hiemalis,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,317547,Egira hiemalis,,accepted
529,Egira perlubens,Grote,brown woodling,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota,NA,Lepidoptera,NA,Noctuoidea,Noctuidae,Noctuinae,native,S4S5 (2017) ,confirmed,documented,NA,NA,NA,NA,"LGL Limited, Environmental Research Associates, Sidney, BC",2019-04-04,benkeen,https://www.inaturalist.org/observations/22010364,https://static.inaturalist.org/photos/34117835/medium.jpg?1554438227,NA,347250,animalia,NA,AHSBR,NA,Pterygota,,,Noctuoidea,Noctuinae,Orthosiini,Egira,perlubens,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,347250,Egira perlubens,,accepted
530,Egira simplex,Walker,none,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota,NA,Lepidoptera,NA,Noctuoidea,Noctuidae,Noctuinae,native,S4S5 (2017),new 2019,documented,NA,NA,NA,NA,NA,2019-04-27,benkeen,https://www.inaturalist.org/observations/23565314,https://static.inaturalist.org/photos/36489340/medium.jpg?1556425343,NA,218903,animalia,NA,AHSBR,NA,Pterygota,,,Noctuoidea,Noctuinae,Orthosiini,Egira,simplex,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,218903,Egira simplex,,accepted
531,Elampus marginatus,Patton,a cuckoo wasp,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota,NA,Hymenoptera,Apocrita,Chrysidoidea,Chrysididae,Chrysidinae,NA,SNR,reported,undocumented,NA,NA,NA,NA,"LGL Limited, Environmental Research Associates, Sidney, BC",NA,NA,NA,NA,NA,300283,animalia,NA,AHSBR,NA,Pterygota,,Apocrita,Chrysidoidea,Chrysidinae,Elampini,Elampus,marginatus,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300283,Elampus marginatus,Aculeata,accepted
532,Elasmostethus cruciatus,Say,red-cross shield bug,Animalia,Arthropoda,Hexapoda,NA,Insecta,Pterygota,NA,Hemiptera,Heteroptera,Pentatomoidea,Acanthosomatidae,Acanthosomatinae,NA,genus not in CDC records,confirmed,documented,1983-03-12,Karen McNeill,UBC,SEM-UBC HET-1820,"LGL Limited, Environmental Research Associates, Sidney, BC",2018-03-31,judithofsquamish,https://www.inaturalist.org/observations/9235983,https://static.inaturalist.org/photos/12500697/medium.jpg?1513982460,historical record West Vancouver,130508,animalia,NA,AHSBR,NA,Pterygota,,Heteroptera,Pentatomoidea,Acanthosomatinae,,Elasmostethus,cruciatus,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130508,Elasmostethus cruciatus,Pentatomomorpha,accepted
